Name,Address,City,Zip,COUNTY,LONGLAT,USNG,DESCRIPT,PARCELID,FACILITY_TYPE,x,y
SOLID ROCK CHRISTIAN ACADEMY,972 N CHRISTY WAY,INVERNESS,34453,CITRUS,"-82.36633243,28.87682220",17R LM 66755 95106,,19E19S020060  00010 0010,PRIVATE SCHOOL,-9168978.185105897,3359977.583182978
FAITH CHRISTIAN SCHOOL,5040 COUNTY ROAD 218 ,MIDDLEBURG,32068,CLAY,"-81.94057903,30.08484502",17R MP 09358 28559,,06-05-24-005947-005-40,PRIVATE SCHOOL,-9121583.533370076,3514460.5484332126
RUSSELL CHRISTIAN ACADEMY,2229 SANDRIDGE RD,GREEN COVE SPRINGS,32043,CLAY,"-81.76106240,30.05134770",17R MP 26634 24719,,46-05-26-010208-000-00,PRIVATE SCHOOL,-9101599.83318144,3510151.8202355085
CALVARY CHRISTIAN ACADEMY,1532 LONG BAY RD ,MIDDLEBURG,32068,CLAY,"-81.86524753,30.09880336",17R MP 16630 30049,,02-05-24-005926-012-00,PRIVATE SCHOOL,-9113197.668438789,3516256.4268718124
AMERICAN HERITAGE CHRISTIAN ACADEMY,4325 US HWY 17 ,ORANGE PARK,32003,CLAY,"-81.70385550,30.11935395",17R MP 32195 32219,,28-04-26-013136-000-00,PRIVATE SCHOOL,-9095231.590017216,3518900.9249847936
HighPoint Christian Academy,84 KNIGHT BOXX RD ,ORANGE PARK,32065,CLAY,"-81.79851029,30.11808910",17R MP 23075 32139,,28-04-25-008063-002-00,PRIVATE SCHOOL,-9105768.513293268,3518738.14564148
CONGREGATIONAL HOLINESS CHURCH SCHOOL,2079 STATE ROAD 16 W ,GREEN COVE SPRINGS,32043,CLAY,"-81.71630958,29.98289606",17R MP 30900 17105,,17-06-26-015591-000-00,PRIVATE SCHOOL,-9096617.971830273,3501351.4803980575
FRIENDSHIP CHRISTIAN ACADEMY,1155 ORCHID AVE ,KEYSTONE HEIGHTS,32656,CLAY,"-82.04327561,29.77452244",17R LN 99148 94257,,30-08-23-022393-000-00,PRIVATE SCHOOL,-9133015.664245464,3474599.6063827816
ORANGE PARK CHRISTIAN ACADEMY,1324 KINGSLEY AVE ,ORANGE PARK,32073,CLAY,"-81.72156825,30.16494686",17R MP 30520 37282,,41-04-26-019501-000-00,PRIVATE SCHOOL,-9097203.364636369,3524769.8936621645
BEREAN CHRISTIAN ACADEMY,4459 US HWY 17 ,ORANGE PARK,32003,CLAY,"-81.70316283,30.11658618",17R MP 32260 31912,,33-04-26-013132-000-00,PRIVATE SCHOOL,-9095154.482122377,3518544.7299167626
CHA EDUCATIONAL TESTING & TUTORING,409 WALNUT ST,GREEN COVE SPRINGS,32043,CLAY,"-81.67967954,29.99323031",17R MP 34441 18229,,,PRIVATE SCHOOL,-9092540.334406482,3502679.6922481577
ORANGE PARK KINDERGARTEN,3050 MOODY AVE,ORANGE PARK,32065,CLAY,"-81.75485712,30.14442141",17R MP 27300 35029,,,PRIVATE SCHOOL,-9100909.06457932,3522127.4102124255
MADEIRA CHRISTIAN ACADEMY,1650 BLANDING BLVD ,MIDDLEBURG,32068,CLAY,"-81.82003256,30.11194070",17R MP 20997 31473,,,PRIVATE SCHOOL,-9108164.36100814,3517946.9073557435
THE H.E.L.P. HOUSE,1624 SMITH ST,ORANGE PARK ,32073,CLAY,"-81.70358927,30.17002374",17R MP 32255 37834,,,PRIVATE SCHOOL,-9095201.953236824,3525423.5845733704
COMMUNITY CHRISTIAN SCHOOL,345 PALMETTO AVE SE ,KEYSTONE HEIGHTS,32656,CLAY,"-82.02903293,29.78336232",17R MN 00534 95224,,20-08-23-022041-000-00,PRIVATE SCHOOL,-9131430.176236477,3475733.3735690927
CHRISTIAN HOME ACADEMY,1965 CEDAR RIVER CT,FLEMING ISLAND,32003,CLAY,"-81.73981459,30.09948730",17R MP 28716 30040,,,PRIVATE SCHOOL,-9099234.537707059,3516344.4293377344
BLACK CREEK CHRISTIAN SCHOOL,3216 COUNTY ROAD 218 ,GREEN COVE SPRINGS,32043,CLAY,"-81.81960671,30.03303703",17R MP 20975 22729,,29-05-25-009951-000-00,PRIVATE SCHOOL,-9108116.955376977,3507797.153313085
PINEWOOD CHRISTIAN ACADEMY,198 KNIGHT BOXX RD ,MIDDLEBURG,32068,CLAY,"-81.79802562,30.11032122",17R MP 23116 31278,,33-04-25-008124-002-00,PRIVATE SCHOOL,-9105714.560368083,3517738.503800346
GODARD DAY SCHOOL,415 MELDRUM LN,ORANGE PARK,32065,CLAY,"-81.81768035,30.18047614",17R MP 21278 39066,,,PRIVATE SCHOOL,-9107902.514709093,3526769.5268171234
FAITH CHRISTIAN ACADEMY,546 HARRISON AVE,ORANGE PARK,32065,CLAY,"-81.77376144,30.14806221",17R MP 25482 35444,,,PRIVATE SCHOOL,-9103013.483680308,3522596.0934016383
KING'S CHRISTIAN ACADEMY,1365 DOLPHIN ST,ORANGE PARK,32073,CLAY,"-81.72647683,30.17232841",17R MP 30053 38103,,,PRIVATE SCHOOL,-9097749.785267293,3525720.3422158635
CINNAMON STREET BAPTIST CHRISTIAN ACADEMY,29 CINNAMON ST,MIDDLEBURG ,32068,CLAY,"-81.90169975,30.06504535",17R MP 13088 26335,,,PRIVATE SCHOOL,-9117255.511057379,3511913.559841003
MORNINGSTAR CHRISTIAN SCHOOL,5006 COUNTY ROAD 214,KEYSTONE HEIGHTS,32656,CLAY,"-81.93413339,29.80019557",17R MN 09723 97011,,,PRIVATE SCHOOL,-9120866.007181156,3477892.6153404745
LIGHTHOUSE CHRISTIAN SCHOOL,1542 KINGSLEY AVE,ORANGE PARK ,32073,CLAY,"-81.72829344,30.16410251",17R MP 29872 37193,,,PRIVATE SCHOOL,-9097873.406798402,3524601.8297760338
KENTERBIE ACADEMY,752B BLANDING BLVD ,ORANGE PARK,32068,CLAY,"-81.76169121,30.14572421",17R MP 26643 35177,,,PRIVATE SCHOOL,-9101669.83208415,3522295.1188689694
GRACE EPSICOPAL DAY SCHOOL,156 KINGSLEY AVE,ORANGE PARK ,32073,CLAY,"-81.69873020,30.16572116",17R MP 32720 37354,,,PRIVATE SCHOOL,-9094661.044851407,3524869.5885796696
BRIGHT START SCHOOL,217 WELLS RD,ORANGE PARK,32073,CLAY,"-81.69980315,30.18573529",17R MP 32630 39573,,,PRIVATE SCHOOL,-9094780.48425983,3527446.795103908
PRIMROSE SCHOOL OF FLEMING ISLAND,2031 TOWN CENTER BLVD,ORANGE PARK,32003,CLAY,"-81.71711679,30.08521309",17R MP 30894 28444,,,PRIVATE SCHOOL,-9096707.830041818,3514507.900514455
The Broach School Orange Park,1909 DEBARRY AVE,ORANGE PARK,32073,CLAY,"-81.72037063,30.16637758",17R MP 30637 37440,,,PRIVATE SCHOOL,-9097070.04604463,3524954.107608272
FAITH CHRISTIAN ACADEMY,997 BLANDING BLVD STE 6A,ORANGE PARK ,32065,CLAY,"-81.77580379,30.13621350",17R MP 25276 34133,,,PRIVATE SCHOOL,-9103240.836870959,3521070.8621392353
LIGHTHOUSE CHRISTIAN SCHOOL,2156 LOCH RANE BLVD,ORANGE PARK,32073,CLAY,"-81.75132718,30.16550746",17R MP 27655 37363,,,PRIVATE SCHOOL,-9100516.11351553,3524842.0737108225
CHRISTIAN HOME ACADEMY,16 COLLEGE DR,ORANGE PARK ,32065,CLAY,"-81.77436839,30.13725659",17R MP 25415 34247,,,PRIVATE SCHOOL,-9103081.048665425,3521205.127432724
THE BROACH SCHOOL OF ORANGE PARK,772 FOXRIDGE CENTER DR,ORANGE PARK,32065,CLAY,"-81.76377670,30.14569981",17R MP 26442 35176,,,PRIVATE SCHOOL,-9101901.987595666,3522291.97725779
ST. JOHNS COUNTRY DAY SCHOOL,3100 DOCTORS LAKE DR ,ORANGE PARK ,32073,CLAY,"-81.74324637,30.14508137",17R MP 28419 35094,,,PRIVATE SCHOOL,-9099616.561610328,3522212.365771257
CENTER ACADEMY OF ORANGE PARK,2171 KINGSLEY AVE,ORANGE PARK ,32073,CLAY,"-81.74295673,30.16497438",17R MP 28461 37299,,,PRIVATE SCHOOL,-9099584.318781467,3524773.4373952528
GODARD DAY SCHOOL,2280 VILLAGE SQUARE PARKWAY,FLEMING ISLAND,32003,CLAY,"-81.71134823,30.08363237",17R MP 31448 28265,,,PRIVATE SCHOOL,-9096065.677170722,3514304.540576033
CROSSWALK LEARNING CENTER,510 S LAWRENCE BLVD,KEYSTONE HEIGHTS,32656,CLAY,"-82.03094157,29.78137345",17R MN 00348 95005,,,PRIVATE SCHOOL,-9131642.644446615,3475478.2802019073
CITIZEN'S HIGH SCHOOL,188 COLLEGE DR,ORANGE PARK ,32065,CLAY,"-81.77623274,30.12549934",17R MP 25227 32946,,,PRIVATE SCHOOL,-9103288.587247409,3519691.835006339
WONDERWORKS,152 STOWE AVE,ORANGE PARK,32073,CLAY,"-81.69866769,30.16398987",17R MP 32725 37163,,,PRIVATE SCHOOL,-9094654.08623145,3524646.6763750156
Seven Bridges School,402 LORING AVE ,ORANGE PARK ,32073,CLAY,"-81.70395970,30.18018522",17R MP 32226 38960,,,PRIVATE SCHOOL,-9095243.189225843,3526732.0632122015
SONLIGHT CHRISTIAN ACADEMY,120 SUZANNE AVE,ORANGE PARK,32073,CLAY,"-81.74824844,30.15088219",17R MP 27941 35740,,,PRIVATE SCHOOL,-9100173.389984958,3522959.123359486
"SEAMARK RANCH, INC",3631 SEAMARK RANCH RD,GREEN COVE SPRINGS,32043,CLAY,"-81.85660632,29.98146724",17R MP 17365 17040,,,PRIVATE SCHOOL,-9112235.733830163,3501167.851680116
CROSS-WALK CENTER FOR YOUTH & COMMUNITY DEVELOPMENT,50 SE 75TH ST,STARKE, ,CLAY,,,,,PRIVATE SCHOOL,-9133434.915628277,3481179.550346007
AGAPE CHRISTIAN SCHOOL,2713 COUNTY ROAD 220 ,MIDDLEBURG ,32068,CLAY,"-81.78746100,30.10022118",17R MP 24126 30152,,,PRIVATE SCHOOL,-9104538.511386676,3516438.8571487516
ANNUNCIATION CATHOLIC SCHOOL,1610 BLANDING BLVD,MIDDLEBURG,32068,CLAY,"-81.81770897,30.11338113",17R MP 21222 31631,,,PRIVATE SCHOOL,-9107905.70059631,3518132.271338339
SAINT JOHN NEUMANN CATHOLIC HIGH SCHOOL,3000 53RD ST SW ,NAPLES ,34116,COLLIER,"-81.71210830,26.17234747",17R MJ 28837 94965,,,PRIVATE SCHOOL,-9096150.287518814,3020442.6209001215
ROYAL PALM ACADEMY,16100 LIVINGSTON RD ,NAPLES ,34110,COLLIER,"-81.75418833,26.29225194",17R MK 24708 08269,,,PRIVATE SCHOOL,-9100834.615668152,3035322.855031151
SEACREST SCHOOL,7100 DAVIS BLVD ,NAPLES ,34112,COLLIER,"-81.72479809,26.13674556",17R MJ 27546 91029,,,PRIVATE SCHOOL,-9097562.908397803,3016027.3472883455
FIRST BAPTIST ACADEMY,3000 ORANGE BLOSSOM DR,NAPLES,34109,COLLIER,"-81.75566749,26.23058118",17R MK 24521 01439,,00236171004,PRIVATE SCHOOL,-9100999.274657227,3027667.5520182517
ST ELIZABETH SETON CATHOLIC SCHOOL,2760 52ND TERRACE SW,NAPLES,34116,COLLIER,"-81.71199570,26.17923860",17R MJ 28852 95728,,,PRIVATE SCHOOL,-9096137.752929708,3021297.400486315
COMMUNITY SCHOOL OF NAPLES,13275 LIVINGSTON ROAD ,NAPLES ,34109,COLLIER,"-81.75413424,26.21594305",17R MJ 24665 99817,,,PRIVATE SCHOOL,-9100828.594121007,3025851.090266184
PRECIOUS CARGO ACADEMY,5200 CRAYTON RD,NAPLES,34103,COLLIER,"-81.80754952,26.21061640",17R MJ 19325 99259,,16059920002,PRIVATE SCHOOL,-9106774.75564537,3025190.1571417684
SAINT ANN SCHOOL,525 S 9TH AVE ,NAPLES,34102,COLLIER,"-81.79936437,26.13749262",17R MJ 20093 91155,,14032320003,PRIVATE SCHOOL,-9105863.588954201,3016119.9830147005
CHRIST COMMUNITY LUTHERAN SCHOOL,777 MOORING LINE DR,NAPLES,34103,COLLIER,"-81.80187101,26.17495730",17R MJ 19868 95306,,12730960000,PRIVATE SCHOOL,-9106142.626645364,3020766.340760429
COVENANT COMMUNITY SCHOOL,2019 SW MAIN BLVD,LAKE CITY ,32025,COLUMBIA,"-82.64162823,30.16171428",17R LP 41915 37842,,,PRIVATE SCHOOL,-9199623.973150712,3524353.6888398747
EPIPHANY CATHOLIC SCHOOL,1937 SW EPIPHANY CT,LAKE CITY, ,COLUMBIA,"-82.64002785,30.16269163",17R LP 42070 37949,,,PRIVATE SCHOOL,-9199445.81928174,3524479.5239595734
"THE VERITAS SCHOOL, INC.",4471 US HWY 90 W ,LAKE CITY ,32055,COLUMBIA,"-82.70308723,30.18267286",17R LP 36030 40252,,,PRIVATE SCHOOL,-9206465.557574335,3527052.4136263863
ARCADIA GIRLS ACADEMY,1812 SE CROSS AVENUE ,ARCADIA ,34266,DESOTO,"-81.76720987,27.19777602",17R ML 24013 08573,,,PRIVATE SCHOOL,-9102284.166789645,3148203.052992292
,12100 SW ACADEMY DRIVE ,LAKE SUZY ,34269,DESOTO,"-82.04196008,27.04244001",17R LK 96657 91563,,,PRIVATE SCHOOL,-9132869.219687406,3128775.068654689
SPRING LAKE YOUTH ACADEMY,8806 SW START CENTER ST,ARCADIA,34269,DESOTO,"-81.98893037,27.11136818",17R MK 01977 99155,STATE,02-39-23-0000-0040-0000,PRIVATE SCHOOL,-9126965.97924457,3137392.635355612
SAINT MARKS EPISCOPAL DAY SCHOOL,4114 OXFORD AVE,JACKSONVILLE,32210,DUVAL,"-81.70253095,30.27347063",17R MP 32428 49297,,,PRIVATE SCHOOL,-9095084.141996471,3538750.599893918
JACKSONVILLE COUNTRY DAY SCHOOL,10063 BAYMEADOWS RD,JACKSONVILLE,32256,DUVAL,"-81.54970889,30.22222274",17R MP 47099 43537,,,PRIVATE SCHOOL,-9078072.067610815,3532146.6064217463
JERICHO SCHOOL FOR CHILDREN WITH AUTISM.,1351 SPRINKLE DRIVE ,JACKSONVILLE ,32211,DUVAL,"-81.59169393,30.33430962",17R MP 43124 55978,,,PRIVATE SCHOOL,-9082745.820907282,3546595.0168468296
SAINT PIUS V CATHOLIC SCHOOL,1470 W 13TH ST,JACKSONVILLE,32209,DUVAL,"-81.67925939,30.35110195",17R MP 34718 57886,,,PRIVATE SCHOOL,-9092493.563804371,3548761.0332653807
BEACHES EPISCOPAL SCHOOL,1150 5TH STREET N ,JACKSONVILLE BEACH ,32250,DUVAL,"-81.39664758,30.29952874",17R MP 61859 52042,,,PRIVATE SCHOOL,-9061033.361176612,3542109.867187419
ASSUMPTION CATHOLIC SCHOOL,2431 ATLANTIC BLVD ,JACKSONVILLE ,32207,DUVAL,"-81.64015272,30.30782016",17R MP 38449 53068,,,PRIVATE SCHOOL,-9088140.229373023,3543178.938807433
HOSANNA ACADEMY,6900 WHEAT RD,JACKSONVILLE,32244,DUVAL,"-81.75666402,30.23969451",17R MP 27196 45588,,,PRIVATE SCHOOL,-9101110.207752945,3534397.6959023424
JACKSONVILLE ADVENTIST ACADEMY,4298 LIVINGTON RD ,JACKSONVILLE ,32257,DUVAL,"-81.60698709,30.17651554",17R MP 41560 38500,,,PRIVATE SCHOOL,-9084448.247567775,3526259.509265599
SEACOAST CHRISTIAN ACADEMY,9570 REGENCY SQUARE BLVD,JACKSONVILLE, ,DUVAL,"-81.54861327,30.32542331",17R MP 47260 54973,,,PRIVATE SCHOOL,-9077950.103677616,3545448.9355866904
GREENWOOD SCHOOL, 9920 REGENCY SQUARE BLVD,JACKSONVILLE,32225,DUVAL,"-81.54099902,30.32553691",17R MP 47992 54982,,,PRIVATE SCHOOL,-9077102.490045933,3545463.58679228
BROACH SCHOOL - WESTSIDE,440 LENOX SQUARE ,JACKSONVILLE ,32254,DUVAL,"-81.71056010,30.32260909",17R MP 31690 54747,,,PRIVATE SCHOOL,-9095977.942695668,3545086.0029010423
LIGHTHOUSE CHRISTIAN SCHOOL - DINSMORE,10604 IOWA AVENUE,JACKSONVILLE ,32219,DUVAL,"-81.76731214,30.42642995",17R MP 26311 66288,,,PRIVATE SCHOOL,-9102295.550892819,3558482.0516616274
"PABLO ACADEMY PRIVATE SCHOOL, INC",1203 BELLEMEADE BLVD,JACKSONVILLE ,32211,DUVAL,"-81.57485665,30.33469968",17R MP 44742 56013,,,PRIVATE SCHOOL,-9080871.503559738,3546645.325627148
BISHOP KENNY HIGH SCHOOL,1055 KINGMAN AVENUE ,JACKSONVILLE ,32207,DUVAL,"-81.64066317,30.30964033",17R MP 38401 53270,,,PRIVATE SCHOOL,-9088197.052507047,3543413.6382736173
BROACH SCHOOL - SOUTHSIDE,6211 TERRY ROAD ,JACKSONVILLE ,32216,DUVAL,"-81.60007569,30.27766566",17R MP 42285 49705,,,PRIVATE SCHOOL,-9083678.874242842,3539291.3392854524
JACKSONVILLE EPISCOPAL HIGH SCHOOL,4455 ATLANTIC BLVD ,JACKSONVILLE ,32207,DUVAL,"-81.62166864,30.31051319",17R MP 40228 53357,,,PRIVATE SCHOOL,-9086082.590272797,3543526.1891592667
ARLINGTON COUNTRY DAY SCHOOL,5725 FORT CAROLINE RD ,JACKSONVILLE ,32277,DUVAL,"-81.60311732,30.36605856",17R MP 42044 59502,,,PRIVATE SCHOOL,-9084017.467276983,3550690.5761218397
TEN BROECK JACKSONVILLE,6300 BEACH BLVD,JACKSONVILLE,32216,DUVAL,"-81.59733547,30.29016292",17R MP 42556 51089,,,PRIVATE SCHOOL,-9083373.835154183,3540902.3753524614
"AVE MARIA ACADEMY, INC",391 S 14TH AVENUE ,JACKSONVILLE BEACH ,32250,DUVAL,"-81.39015959,30.27536398",17R MP 62474 49362,,,PRIVATE SCHOOL,-9060311.121451719,3538994.6500067255
SAINT PAUL CATHOLIC SCHOOL,2609 PARK ST,JACKSONVILLE,32204,DUVAL,"-81.69195003,30.31210080",17R MP 33472 53572,,,PRIVATE SCHOOL,-9093906.27957908,3543730.9066315317
CORNERSTONE NEIGHBORHOOD SCHOOL,2013 GRAND ST ,JACKSONVILLE ,32208,DUVAL,"-81.68736938,30.40427040",17R MP 33974 63783,,,PRIVATE SCHOOL,-9093396.363901662,3555621.6006828486
THE POTTER'S HOUSE CHRISTIAN ACADEMY ELEMENTARY,5732 NORMANDY BLVD,JACKSONVILLE,32205,DUVAL,"-81.74698163,30.30714616",17R MP 28177 53056,,,PRIVATE SCHOOL,-9100032.368782032,3543092.031045347
JACKSONVILLE BEAUTY INSTITUTE,5045 SOUTEL DR STE 80 ,JACKSONVILLE ,32208,DUVAL,"-81.72633085,30.39830466",17R MP 30227 63145,,,PRIVATE SCHOOL,-9097733.534093885,3554851.6286895378
DEPAUL SCHOOL OF NE FL - GUDAL CAMPUS,3044 SAN PABLO RD ,JACKSONVILLE ,32224,DUVAL,"-81.43945793,30.29225566",17R MP 57739 51252,,,PRIVATE SCHOOL,-9065798.9867705,3541172.172273166
BOLLES SCHOOL,7400 SAN JOSE BLVD ,JACKSONVILLE ,32217,DUVAL,"-81.62896804,30.24275796",17R MP 39485 45852,,,PRIVATE SCHOOL,-9086895.155725153,3534792.437397208
LIGHTHOUSE CHRISTIAN SCHOOL - NORTHSIDE, 5400 NORTH PEARL STREET,JACKSONVILLE ,32208,DUVAL,"-81.65753632,30.37336887",17R MP 36820 60342,,,PRIVATE SCHOOL,-9090075.36257448,3551633.780994203
BISHOP JOHN J. SNYDER HIGH SCHOOL,5001 SAMARITAN WAY ,JACKSONVILLE ,32221,DUVAL,"-81.83744239,30.25187491",17R MP 19433 46992,,,PRIVATE SCHOOL,-9110102.414809873,3535967.275168376
SAN JOSE CATHOLIC GRADE SCHOOL,3619 TOLEDO RD,JACKSONVILLE,32217,DUVAL,"-81.62380671,30.24819212",17R MP 39984 46452,,1500480000R,PRIVATE SCHOOL,-9086320.599016266,3535492.687079489
SEACOAST CHRISTIAN ACADEMY HIGH SCHOOL,855 TOWNSEND BLVD,JACKSONVILLE,32211,DUVAL,"-81.57133973,30.32820046",17R MP 45077 55291,,1424830010R,PRIVATE SCHOOL,-9080480.001669684,3545807.098219467
ST MATTHEW CATHOLIC SCHOOL,1773 BLANDING BLVD,JACKSONVILLE,32210,DUVAL,"-81.72381991,30.28626771",17R MP 30389 50728,,0680230000R,PRIVATE SCHOOL,-9097454.018415619,3540400.217102066
SAINT PAUL'S CATHOLIC SCHOOL,212 N 5TH ST,JACKSONVILLE BEACH,32250,DUVAL,"-81.39428536,30.29014712",17R MP 62083 51002,,1738020000R,PRIVATE SCHOOL,-9060770.399852725,3540900.338441256
LIGHTHOUSE CHRISTIAN SCHOOL - MANDARIN,3423 LORETTO RD,JACKSONVILLE,32223,DUVAL,"-81.62148294,30.16020164",17R MP 40155 36700,,1581030000R,PRIVATE SCHOOL,-9086061.918321643,3524158.9363190234
CEDAR HILLS BAPTIST CHRISTIAN SCHOOL,4200 JAMMES RD,JACKSONVILLE,32210,DUVAL,"-81.74773557,30.26090557",17R MP 28071 47932,,1029880000R,PRIVATE SCHOOL,-9100116.297665799,3537131.100818884
CEDAR CREEK CHRISTIAN SCHOOL,1402 S LANE AVE,JACKSONVILLE,32205,DUVAL,"-81.75242145,30.29728731",17R MP 27646 51967,,0117940000R,PRIVATE SCHOOL,-9100637.927015476,3541820.8795636543
HOLY SPIRIT CATHOLIC SCHOOL,11663 FORT CAROLINE RD,JACKSONVILLE,32225,DUVAL,"-81.51459905,30.37140610",17R MP 50553 60053,,1606630020R,PRIVATE SCHOOL,-9074163.658078229,3551380.530230702
FIRST COAST CHRISTIAN SCHOOL,7587 BLANDING BLVD,JACKSONVILLE,32244,DUVAL,"-81.73694487,30.20979007",17R MP 29072 42261,,0990270000R,PRIVATE SCHOOL,-9098915.082093297,3530545.0048369225
HOLY FAMILY CATHOLIC SCHOOL,9800 BAYMEADOWS RD,JACKSONVILLE,32256,DUVAL,"-81.55562446,30.21829406",17R MP 46528 43104,,1486330008R,PRIVATE SCHOOL,-9078730.58569118,3531640.483459747
PROVIDENCE SCHOOL,2701 HODGES BLVD,JACKSONVILLE,32224,DUVAL,"-81.45780138,30.29793035",17R MP 55978 51887,,1652820000R,PRIVATE SCHOOL,-9067840.970816549,3541903.785466734
RIVERSIDE PRESBYTERIAN DAY SCHOOL,819 PARK ST,JACKSONVILLE,32204,DUVAL,"-81.67963106,30.31651634",17R MP 34659 54054,,0903530000R,PRIVATE SCHOOL,-9092534.93757029,3544300.2953822226
LIGHTHOUSE CHRISTIAN SCHOOL - WESTSIDE,6800 W 5TH ST,JACKSONVILLE,32254,DUVAL,"-81.75993530,30.34268493",17R MP 26958 57003,,0049550000R,PRIVATE SCHOOL,-9101474.36497252,3547675.2890009764
ALETHEIA CHRISTIAN ACADEMY,1700 WOODCHUCK AVE ,PENSACOLA,32504,ESCAMBIA,"-87.16784331,30.49900287",16R DU 83893 74092,,,PRIVATE SCHOOL,-9703479.930733098,3567854.6312308414
SACRED HEART CATHEDRAL SCHOOL,1603 N 12TH AVENUE,PENSACOLA,32503,ESCAMBIA,"-87.20525637,30.43151805",16R DU 80289 66620,,,PRIVATE SCHOOL,-9707644.733165132,3559138.9368709316
CHRISTIAN INSTITUTE OF THE ARTS & SCIENCES,6100 W FAIRFIELD DRIVE,PENSACOLA,32506,ESCAMBIA,"-87.29631817,30.43210019",16R DU 71545 66704,,,PRIVATE SCHOOL,-9717781.686715843,3559214.094360872
PENSACOLA SEVENTH-DAY ADVENTIST JUNIOR ACADEMY,8751 UNIVERSITY PARKWAY,PENSACOLA,32514,ESCAMBIA,"-87.22262566,30.52260026",16R DU 78641 76717,,,PRIVATE SCHOOL,-9709578.274611717,3570903.670729016
POLLACK REHABILITATION CENTER I,1000 E FAIRFIELD DRIVE,PENSACOLA,32503,ESCAMBIA,"-87.21248112,30.45629530",16R DU 79601 69367,,,PRIVATE SCHOOL,-9708448.989501765,3562338.227669339
PENSACOLA SCHOOL OF MASSAGE THERAPY & HEALTH CAREERS,2409 CREIGHTON ROAD ,PENSACOLA,32504,ESCAMBIA,"-87.19552708,30.49476467",16R DU 81236 73627,,,PRIVATE SCHOOL,-9706561.674413795,3567307.0882090703
NEW DIMENSIONS CHRISTIAN ACADEMY,3201 W NAVY BLVD,PENSACOLA,32505,ESCAMBIA,"-87.25370702,30.41136006",16R DU 75632 64396,,,PRIVATE SCHOOL,-9713038.235037927,3556536.693820676
ESCAMBIA CHRISTIAN SCHOOL,3311 WEST MORENO STREET,PENSACOLA,32505,ESCAMBIA,"-87.25389158,30.42883869",16R DU 75618 66333,,,PRIVATE SCHOOL,-9713058.780878559,3558793.020803382
PENSACOLA MENNONITE CHRISTIAN SCHOOL,8261 EIGHT MILE CREEK ROAD ,PENSACOLA ,32526,ESCAMBIA,"-87.32428360,30.51377948",16R DU 68885 75763,,,PRIVATE SCHOOL,-9720894.78449227,3569763.843411151
MARCUS POINTE CHRISTIAN SCHOOL,6205 N W ST,PENSACOLA,32535,ESCAMBIA,"-87.25714847,30.47430773",16R DU 75317 71372,,,PRIVATE SCHOOL,-9713421.33548118,3564664.542423563
BROWNSVILLE REVIVAL SCHOOL OF MINISTRY,8594 W HIGHWAY 98 ,PENSACOLA ,32506,ESCAMBIA,"-87.32844861,30.40405031",16R DU 68450 63604,,,PRIVATE SCHOOL,-9721358.430813743,3555593.193661003
SAINT MICHAEL INTERPAROCHIAL SCHOOL,601 NORTH PALAFOX STREET,PENSACOLA,32501,ESCAMBIA,"-87.21599086,30.42012575",16R DU 79256 65359,,,PRIVATE SCHOOL,-9708839.691177053,3557668.2116846223
S.L. JONES CHRISTIAN ACADEMY,100 N BOEING ST,PENSACOLA,32507,ESCAMBIA,"-87.27001957,30.40656160",16R DU 74064 63868,,,PRIVATE SCHOOL,-9714854.13998105,3555917.3286875975
FORTIS INSTITUTE - PENSACOLA,4081 E OLIVE RD STE B,PENSACOLA,32514,ESCAMBIA,"-87.18364379,30.51001186",16R DU 82379 75315,,,PRIVATE SCHOOL,-9705238.83211904,3569277.019758479
SAINT JOHN THE EVANGELIST SCHOOL,325 S NAVY BLVD,PENSACOLA,32507,ESCAMBIA,"-87.26816317,30.40918238",16R DU 74243 64158,,,PRIVATE SCHOOL,-9714647.486692445,3556255.6050685346
TRINITAS CHRISTIAN SCHOOL,3301 E JOHNSON AVENUE,PENSACOLA,32514,ESCAMBIA,"-87.19782268,30.51648281",16R DU 81020 76034,,,PRIVATE SCHOOL,-9706817.219352186,3570113.1576688443
EAST HILL CHRISTIAN SCHOOL,1301 E GONZALEZ STREET,PENSACOLA,32501,ESCAMBIA,"-87.20129602,30.42657609",16R DU 80669 66072,,,PRIVATE SCHOOL,-9707203.868929291,3558500.917527783
PENSACOLA CATHOLIC HIGH SCHOOL,3043 W SCOTT ST,PENSACOLA ,32505,ESCAMBIA,"-87.25081917,30.43752771",16R DU 75915 67295,,,PRIVATE SCHOOL,-9712716.761490567,3559914.8429539707
REDEEMER LUTHERAN ELEM/MIDDLE SCHOOL,333 COMMERCE STREET,PENSACOLA,32507,ESCAMBIA,"-87.27356953,30.38594032",16R DU 73717 61583,,,PRIVATE SCHOOL,-9715249.319632448,3553255.9652244654
PENSACOLA PRIVATE SCHOOL OF LIBERAL ARTS,1550 N 13TH AVENUE,PENSACOLA,32503,ESCAMBIA,"-87.20237863,30.43147104",16R DU 80566 66614,,,PRIVATE SCHOOL,-9707324.385017639,3559132.8683817657
EAST HILL ACADEMY,635 W GARDEN ST,PENSACOLA,32502,ESCAMBIA,"-87.22403438,30.41114254",16R DU 78482 64366,,,PRIVATE SCHOOL,-9709735.092111686,3556508.616602603
