Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,ADDRESSCITYZIP,x,y
BEACHES BRANCH LIBRARY (PRIMARY),600 3RD ST S,NEPTUNE BEACH,32266,DUVAL,"-81.39812849,30.31967432",17R MP 61724 54275,COUNTY,1729120200R,DISASTER RECOVERY CENTER,"600 3RD ST S NEPTUNE BEACH , FL 32266",-9061198.21483073,3544707.535063962
DUVAL-BRADHAM BROOKS LIBRARY,1755 EDGEWOOD AVE W ,JACKSONVILLE,32208,DUVAL,"-81.68630670,30.38723790",17R MP 34065 61895,,,DISASTER RECOVERY CENTER,"1755 EDGEWOOD AVE W  JACKSONVILLE , FL 32208",-9093278.066611843,3553423.413226567
OCEANWAY CENTER AND PLAYGROUND (SECONDARY),12215 SAGO AVE,JACKSONVILLE,32218,DUVAL,"-81.63210270,30.46106629",17R MP 39318 70046,,1068600010R,DISASTER RECOVERY CENTER,"12215 SAGO AVE JACKSONVILLE , FL 32218",-9087244.104591379,3562954.362022974
BUSINESS PROPERTY,604 NORTH WARRINGTON ROAD,PENSACOLA,32506,ESCAMBIA,"-87.27493151,30.41871437",16R DU 73595 65215,,342S300181001005,DISASTER RECOVERY CENTER,"604 NORTH WARRINGTON ROAD PENSACOLA , FL 32506",-9715400.934939612,3557486.016626026
BUSINESS PROPERTY,7850 NORTH CENTURY BOULEVARD,CENTURY,32535,ESCAMBIA,"-87.26279015,30.97443973",16R DV 74905 26798,,055N303139002011,DISASTER RECOVERY CENTER,"7850 NORTH CENTURY BOULEVARD CENTURY , FL 32535",-9714049.364731038,3629430.100303836
TOWN & COUNTRY SHOPPING CENTER,3300 NORTH PACE BOULEVARD,PENSACOLA,32505,ESCAMBIA,"-87.23850321,30.44750815",16R DU 77100 68398,,092S301100000211,DISASTER RECOVERY CENTER,"3300 NORTH PACE BOULEVARD PENSACOLA , FL 32505",-9711345.75524133,3561203.5200055377
BUSINESS PROPERTY,4618 SAUFLEY FIELD ROAD,PENSACOLA,32526,ESCAMBIA,"-87.30695890,30.46160248",16R DU 70532 69976,,391S314309000000,DISASTER RECOVERY CENTER,"4618 SAUFLEY FIELD ROAD PENSACOLA , FL 32526",-9718966.207443077,3563023.6079900693
OLD MOLINO ELEMENTARY SCHOOL (COUNTY),6450 HIGHWAY 95A N,MOLINO,32577,ESCAMBIA,"-87.33672709,30.71588687",16R DU 67758 98164,COUNTY,032N313000002001,DISASTER RECOVERY CENTER,"6450 HIGHWAY 95A N MOLINO , FL 32577",-9722279.98683559,3595906.3535456043
WALNUT HILL COMMUNITY CENTER,7850 HIGHWAY 97,MC DAVID,32568,ESCAMBIA,"-87.47960058,30.90166382",16R DV 54167 18802,COUNTY,384N321000000000,DISASTER RECOVERY CENTER,"7850 HIGHWAY 97 MC DAVID , FL 32568",-9738184.591895089,3619984.89229215
BARRINEAU PARK COMMUNITY CENTER,6055 BARRINEAU PARK SCHOOL RD,MOLINO,32577,ESCAMBIA,"-87.40552704,30.71221482",16R DU 61170 97779,,,DISASTER RECOVERY CENTER,"6055 BARRINEAU PARK SCHOOL RD MOLINO , FL 32577",-9729922.655805606,3595362.9959294065
BROWNVILLE COMMUNITY CENTER,3200 W DESOTO ST,PENSACOLA,32505,ESCAMBIA,"-87.25380990,30.42361070",16R DU 75625 65753,,,DISASTER RECOVERY CENTER,"3200 W DESOTO ST PENSACOLA , FL 32505",-9713049.687603753,3558118.0948282056
OLD CARVER MIDDLE SCHOOL,400 POND ST,CENTURY,32535,ESCAMBIA,"-87.26511375,30.96745248",16R DV 74682 26025,,,DISASTER RECOVERY CENTER,"400 POND ST CENTURY , FL 32535",-9714308.026360685,3628522.9493642505
ENGELWOOD COMMUNITY CENTER,2751 N H ST,PENSACOLA,32501,ESCAMBIA,"-87.23272393,30.44015751",16R DU 77654 67583,,,DISASTER RECOVERY CENTER,"2751 N H ST PENSACOLA , FL 32501",-9710707.486456705,3560277.516620445
CARVER COMMUNITY CENTER (COUNTY),7040 JEFFERSON AVENUE,CENTURY,32535,ESCAMBIA,"-87.26336038,30.96352948",16R DV 74848 25589,,085N302302001001,DISASTER RECOVERY CENTER,"7040 JEFFERSON AVENUE CENTURY , FL 32535",-9714112.842642037,3628013.657506739
ESCAMBIA COUNTY EXTENSION,3740 STEFANI RD,CANTONMENT,32533,ESCAMBIA,"-87.29945039,30.54243341",16R DU 71277 78932,,,DISASTER RECOVERY CENTER,"3740 STEFANI RD CANTONMENT , FL 32533",-9718130.364061728,3573466.9017709014
AVONDALE PARK,5809 VESTAVIA LN,PENSACOLA,32526,ESCAMBIA,"-87.31281633,30.45468108",16R DU 69968 69211,,,DISASTER RECOVERY CENTER,"5809 VESTAVIA LN PENSACOLA , FL 32526",-9719618.25363377,3562129.7716447986
JFO (DR4177),3351-B MCLEMORE DR,PENSACOLA,32514,ESCAMBIA,"-87.19113393,30.51926938",16R DU 81662 76342,,,DISASTER RECOVERY CENTER,"3351-B MCLEMORE DR PENSACOLA , FL 32514",-9706072.630469315,3570473.2393391156
FLAGLER COUNTY FAIRGORUNDS,150 SAWGRASS RD,PALM COAST,32137,FLAGLER,"-81.27713059,29.48849197",17R MN 73135 62140,,,DISASTER RECOVERY CENTER,"150 SAWGRASS RD PALM COAST , FL 32137",-9047728.790874265,3437968.2543114466
FRANKLIN COUNTY SENIOR CENTER,201 NW AVE F,CARRABELLE,32322,FRANKLIN,"-84.66591621,29.85739518",16R GU 25469 05270,,20-07S-04W-4230-0F07-0030,DISASTER RECOVERY CENTER,"201 NW AVE F CARRABELLE , FL 32322",-9424966.679785062,3485232.46281514
FRANKLIN'S COMMUNITY SERVICE CENTER,192 14TH ST,APALACHICOLA,32320,FRANKLIN,"-84.99856430,29.72443731",16R FT 93585 89928,,01-09S-08W-8330-0137-0010,DISASTER RECOVERY CENTER,"192 14TH ST APALACHICOLA , FL 32320",-9461996.895759271,3468177.779541909
CARRABELLE CITY HALL,1001 GRAY AVE,CARRABELLE,32322,FRANKLIN,"-84.65513525,29.85437546",16R GU 26518 04957,MUNICIPAL,,DISASTER RECOVERY CENTER,"1001 GRAY AVE CARRABELLE , FL 32322",-9423766.549405886,3484844.8671333836
"CHILLIS HALL, LANARK VILLAGE",156-A HEFFERNAN DR,CARRABELLE,32322,FRANKLIN,"-84.59480425,29.88467743",16R GU 32277 08436,MUNICIPAL,12-07S-04W-3141-0006-0150,DISASTER RECOVERY CENTER,"156-A HEFFERNAN DR CARRABELLE , FL 32322",-9417050.532668011,3488734.7984094736
EASTPOINT VFD,24 6TH ST,EASTPOINT,32328,FRANKLIN,"-84.86509355,29.74604888",16R GT 06453 92555,MUNICIPAL,29-08S-06W-0000-0380-0010,DISASTER RECOVERY CENTER,"24 6TH ST EASTPOINT , FL 32328",-9447138.999984266,3470948.3832537103
NATIONAL GUARD ARMORY,66 E 4TH ST,APALACHICOLA,32320,FRANKLIN,"-84.98479854,29.72637743",16R FT 94913 90166,STATE,01-09S-08W-8330-0009-0010,DISASTER RECOVERY CENTER,"66 E 4TH ST APALACHICOLA , FL 32320",-9460464.49837779,3468426.478341857
JOE FEROLITO RECREATIONAL CENTER,122 N GRAVES ST,QUINCY,32351,GADSDEN,"-84.59452978,30.58967117",16R GU 30651 86593,,,DISASTER RECOVERY CENTER,"122 N GRAVES ST QUINCY , FL 32351",-9417019.978724612,3579574.0068395417
BELL COMMUNITY CENTER,1180 N MAIN ST,BELL,32619,GILCHRIST,"-82.86253946,29.75578910",17R LN 19907 93178,,,DISASTER RECOVERY CENTER,"1180 N MAIN ST BELL , FL 32619",-9224215.698117053,3472197.2747922842
GILCHRIST CO FIRE RESCUE STATION 2,460 NW COUNTY ROAD 138,BRANFORD,32008,GILCHRIST,"-82.81682246,29.89148889",17R LP 24566 08148,COUNTY,09-07-15-0000-0005-0000,DISASTER RECOVERY CENTER,"460 NW COUNTY ROAD 138 BRANFORD , FL 32008",-9219126.505416857,3489609.3639595862
TRENTON COMMUNITY CENTER,110 SE 3RD AVE,TRENTON,32693,GILCHRIST,"-82.81678546,29.61105819",17R LN 24080 77067,COUNTY, ,DISASTER RECOVERY CENTER,"110 SE 3RD AVE TRENTON , FL 32693",-9219122.386209875,3453652.334126284
GLADES COUNTY SHERIFF'S OFFICE GUN RANGE,1097 HEALTH PARK DRive,MOORE HAVEN,33471,GLADES,"-81.12536492,26.84011872",17R MK 87544 68733,COUNTY,A21-41-32-A00-0020-0000,DISASTER RECOVERY CENTER,"1097 HEALTH PARK DRive MOORE HAVEN , FL 33471",-9030834.312970936,3103510.856744929
DOYLE CONNER AGRICULTURE CENTER,900 US HWY 27,MOORE HAVEN,33471,GLADES,"-81.10292684,26.83303260",17R MK 89773 67946,COUNTY,A27-42-32-A00-0020-0000,DISASTER RECOVERY CENTER,"900 US HWY 27 MOORE HAVEN , FL 33471",-9028336.517247837,3102626.8212868497
WEWAHITCHKA COMMUNITY CENTER,314 N 3RD ST,WEWAHITCHKA,32465,GULF,"-85.19754935,30.11591279",16R FU 73654 33000,MUNICIPAL,02083-000R,DISASTER RECOVERY CENTER,"314 N 3RD ST WEWAHITCHKA , FL 32465",-9484147.810926093,3518458.0697923643
PORT ST. JOE CENTENIAL BUILDING,300 ALLEN MEMORIAL WAY,PORT SAINT JOE,32456,GULF,"-85.29517005,29.79357501",16R FT 64778 97130,MUNICIPAL,06058-000R,DISASTER RECOVERY CENTER,"300 ALLEN MEMORIAL WAY PORT SAINT JOE , FL 32456",-9495014.897287067,3477043.3362465976
WASHINGTON HIGH RECREATIONAL CENTER,401 PETERS ST,PORT SAINT JOE,32456,GULF,"-85.29764483,29.82085208",16R FU 64494 00150,MUNICIPAL,04583-011R,DISASTER RECOVERY CENTER,"401 PETERS ST PORT SAINT JOE , FL 32456",-9495290.388489768,3480542.7709561726
HAMILTON COUNTY COURTHOUSE,1153 US HWY 41 NW,JASPER,32052,HAMILTON,"-82.95790440,30.52380032",17R LP 12146 78459,COUNTY,6176-010,DISASTER RECOVERY CENTER,"1153 US HWY 41 NW JASPER , FL 32052",-9234831.675051173,3571058.751169787
OLD HAMILTON HIGH SCHOOL,255 CHAN BRIDGE DR,JASPER,32052,HAMILTON,"-82.95906404,30.52773059",17R LP 12042 78897,COUNTY,6756-000,DISASTER RECOVERY CENTER,"255 CHAN BRIDGE DR JASPER , FL 32052",-9234960.765390085,3571566.6628040783
HARDEE COUNTY AGRI-CIVIC CENTER,515 CIVIC CENTER DR,WAUCHULA,33873,HARDEE,"-81.83469900,27.53299900",17R ML 17577 45749,COUNTY,08-34-25-0000-03760-0000,DISASTER RECOVERY CENTER,"515 CIVIC CENTER DR WAUCHULA , FL 33873",-9109797.021925773,3190222.2152547776
PIONEER PARK RECREATIONAL HALL,INTERSECTION OF ANIMAL WAY & SEMINOLE RD,WAUCHULA,33873,HARDEE,"-81.80599300,27.50236000",17R ML 20390 42336,COUNTY,22-34-25-0000-08120-0000,DISASTER RECOVERY CENTER,"INTERSECTION OF ANIMAL WAY & SEMINOLE RD WAUCHULA , FL 33873",-9106601.484528784,3186376.4154670057
HARDEE-RECREATION HALL,231 WILBUR C KING BLVD,ZOLFO SPRINGS, ,HARDEE,"-81.80121210,27.50168380",17R ML 20861 42258,,,DISASTER RECOVERY CENTER,"231 WILBUR C KING BLVD ZOLFO SPRINGS , FL  ",-9106069.277234524,3186291.5511056595
MONTURA CLUBHOUSE,255 N HACIENDA ST,CLEWISTON,33440,HENDRY,"-81.11090689,26.64186868",17R MK 88961 46774,,,DISASTER RECOVERY CENTER,"255 N HACIENDA ST CLEWISTON , FL 33440",-9029224.852956189,3078798.782717987
HENDRY-PIONEER COMM CENTER,910 PANAMA AVE,CLEWISTON,33440,HENDRY,"-81.21396440,26.70668600",17R MK 78716 53966,,,DISASTER RECOVERY CENTER,"910 PANAMA AVE CLEWISTON , FL 33440",-9040697.162339574,3086873.59179551
HENDRY-FELDA COMM CENTER,1100 COUNTY RD 830,FELDA, ,HENDRY,"-81.41750200,26.54406900",17R MK 58411 36006,,,DISASTER RECOVERY CENTER,"1100 COUNTY RD 830 FELDA , FL  ",-9063354.864270069,3066623.7649439387
HARLEM COMMUNITY CENTER,2000 7TH ST,CLEWISTON,33440,HENDRY,"-80.94371050,26.73651049",17R NK 05597 57253,,,DISASTER RECOVERY CENTER,"2000 7TH ST CLEWISTON , FL 33440",-9010612.635480512,3090590.609549878
HENDRY-DALLAS TOWNSEND CENTER,1085 PRATT BLVD,LABELLE,33935,HENDRY,"-81.42862950,26.74479250",17R MK 57377 58240,,,DISASTER RECOVERY CENTER,"1085 PRATT BLVD LABELLE , FL 33935",-9064593.571895624,3091622.966430414
LABELLE RODEO GROUNDS,100 RODEO DR,LABELLE,33935,HENDRY,"-81.43658074,26.74255906",17R MK 56586 57996,,,DISASTER RECOVERY CENTER,"100 RODEO DR LABELLE , FL 33935",-9065478.699855981,3091344.5593127813
NEW BEGINNINGS LIFE CENTER,3350 COMMERCIAL WAY,SPRING HILL,34606,HERNANDO,"-82.60872428,28.48008264",17R LM 42521 51439,,R16 223 17 3810 0070 0080,DISASTER RECOVERY CENTER,"3350 COMMERCIAL WAY SPRING HILL , FL 34606",-9195961.121825557,3309637.1719351015
MASARYKTOWN COMMUNITY CENTER,539 LINCOLN AVE,BROOKSVILLE,34604,HERNANDO,"-82.46100019,28.44571312",17R LM 56937 47446,,R36 223 18 2690 0540 0010,DISASTER RECOVERY CENTER,"539 LINCOLN AVE BROOKSVILLE , FL 34604",-9179516.55100645,3305285.124587866
HERNANDO CO,21030 CORTEZ BLVD,BROOKSVILLE,34601,HERNANDO,"-82.38866210,28.53775140",17R LM 64139 57560,,,DISASTER RECOVERY CENTER,"21030 CORTEZ BLVD BROOKSVILLE , FL 34601",-9171463.912095774,3316942.6737423684
WESTSIDE GOVERNMENT CENTER,7405 FORREST OAKS BLVD,SPRING HILL,34606,HERNANDO,"-82.59432034,28.49102405",17R LM 43947 52633,,,DISASTER RECOVERY CENTER,"7405 FORREST OAKS BLVD SPRING HILL , FL 34606",-9194357.682686916,3311022.926697991
BERT J. HARRIS AGRICULTURAL CENTER (FIXED),4509 WEST GEORGE BLVD,SEBRING,33875,HIGHLANDS,"-81.42055580,27.44139337",17R ML 58438 35395,COUNTY,C09352905000000130,DISASTER RECOVERY CENTER,"4509 WEST GEORGE BLVD SEBRING , FL 33875",-9063694.811499568,3178727.082413941
FWB SENIOR COMMUNITY CENTER,4300 GEORGE BLVD,SEBRING,33875,HIGHLANDS,"-81.42170071,27.44245596",17R ML 58325 35513,COUNTY,C093529A0001610000,DISASTER RECOVERY CENTER,"4300 GEORGE BLVD SEBRING , FL 33875",-9063822.262986967,3178860.3660108964
KEYSVILLE RECREATION CENTER,9390 EDISON RD,LITHIA,33547,HILLSBOROUGH,"-82.06953408,27.87026904",17R LL 94711 83290,COUNTY,223013ZZZ000005169200U,DISASTER RECOVERY CENTER,"9390 EDISON RD LITHIA , FL 33547",-9135938.74298361,3232627.5069807693
CARROLLWOOD CULTURAL CENTER,13335 CASEY ROAD,TAMPA,33618,HILLSBOROUGH,"-82.51683900,28.06647900",17R LM 50942 05495,COUNTY,182809ZZZ000000835400U,DISASTER RECOVERY CENTER,"13335 CASEY ROAD TAMPA , FL 33618",-9185732.499374043,3257357.8588761436
UNIVERSITY AREA COMMUNITY DEVELOPMENT CENTER,14013 N 22ND ST,TAMPA,33613,HILLSBOROUGH,"-82.43334865,28.07548049",17R LM 59159 06392,COUNTY,192805ZZZ000001261600U,DISASTER RECOVERY CENTER,"14013 N 22ND ST TAMPA , FL 33613",-9176438.396169692,3258493.489316548
HOUSING & COMMUNITY CODE ENFORCEMENT OFFICE,10119 WINDHORST RD,TAMPA,33619,HILLSBOROUGH,"-82.33366700,27.96258020",17R LL 68818 93773,,202917ZZZ000002508600U,DISASTER RECOVERY CENTER,"10119 WINDHORST RD TAMPA , FL 33619",-9165341.886040282,3244256.827266991
HILLSBOROUGH COMMUNITY COLLEGE AT THE REGENT (FIXED),6437 WATSON RD,RIVERVIEW,33569,HILLSBOROUGH,"-82.31122750,27.88702184",17R LL 70936 85378,STATE,203009ZZZ00000284090AU,DISASTER RECOVERY CENTER,"6437 WATSON RD RIVERVIEW , FL 33569",-9162843.932092993,3234737.2805387457
NOMA TOWN HALL,3462 SKIPPER AVE,BONIFAY,32425,HOLMES,"-85.61971975,30.98063211",16R FV 31802 28272,COUNTY,0327.04-001-00L-005.000,DISASTER RECOVERY CENTER,"3462 SKIPPER AVE BONIFAY , FL 32425",-9531143.604015222,3630234.1089141318
PONCE DE LEON CITY GYMNASIUM,1611 PIRATE COVE RD,PONCE DE LEON,32455,HOLMES,"-85.93371500,30.72607600",16R FU 02086 99730,,1827.02-000-000-022.000,DISASTER RECOVERY CENTER,"1611 PIRATE COVE RD PONCE DE LEON , FL 32455",-9566097.39579073,3597225.760774897
INDIAN RIVER-CO BRACKETT LIBRARY,6155 COLLEGE LN,VERO BEACH,32966,INDIAN RIVER,"-80.45593320,27.63380920",17R NL 53674 56756,,,DISASTER RECOVERY CENTER,"6155 COLLEGE LN VERO BEACH , FL 32966",-8956313.515130918,3202883.4637478823
NORTH COUNTY AQUATIC CENTER,9450 COUNTY ROAD 512,SEBASTIAN,32958,INDIAN RIVER,"-80.52059125,27.76888412",17R NL 47237 71692,,,DISASTER RECOVERY CENTER,"9450 COUNTY ROAD 512 SEBASTIAN , FL 32958",-8963511.216320027,3219866.4893848347
ORCHID TOWN HALL,7707 US HWY 1,VERO BEACH,32967,INDIAN RIVER,"-80.42784805,27.73431378",17R NL 56393 67902,,,DISASTER RECOVERY CENTER,"7707 US HWY 1 VERO BEACH , FL 32967",-8953187.090663793,3215517.943824814
SEBASTIAN ELEMENTARY SCHOOL,400 SEBASTIAN BLVD,SEBASTIAN,32958,INDIAN RIVER,"-80.47686180,27.80415584",17R NL 51529 75617,COUNTY,31390700000300000001.1,DISASTER RECOVERY CENTER,"400 SEBASTIAN BLVD SEBASTIAN , FL 32958",-8958643.276398765,3224304.683698316
HOBART PARK,5350 77TH ST,VERO BEACH,32967,INDIAN RIVER,"-80.44280723,27.73475893",17R NL 54918 67945,COUNTY,31393300000500000003.0,DISASTER RECOVERY CENTER,"5350 77TH ST VERO BEACH , FL 32967",-8954852.338340702,3215573.929298256
FELLSMERE CITY HALL,22 S ORANGE ST.,FELLSMERE,32948,INDIAN RIVER,"-80.60289661,27.76685289",17R NL 39128 71439,COUNTY,31370000009103000001.0,DISASTER RECOVERY CENTER,"22 S ORANGE ST. FELLSMERE , FL 32948",-8972673.406861156,3219610.9452728042
STORM GROVE MIDDLE SCHOOL,6400 57TH ST,VERO BEACH,32967,INDIAN RIVER,"-80.45662626,27.69895131",17R NL 53574 63972,COUNTY,32391700001003000001.0,DISASTER RECOVERY CENTER,"6400 57TH ST VERO BEACH , FL 32967",-8956390.665705394,3211071.1835771003
GIFFORD YOUTH ACTIVITY CENTER,4855 43RD AVE,VERO BEACH,32967,INDIAN RIVER,"-80.43018460,27.68199060",17R NL 56189 62105,COUNTY,32392100001009000001.1,DISASTER RECOVERY CENTER,"4855 43RD AVE VERO BEACH , FL 32967",-8953447.194432413,3208938.9200488874
INDIAN RIVER COUNTY MAIN LIBRARY,1600 21ST ST.,VERO BEACH,32960,INDIAN RIVER,"-80.40187795,27.64055995",17R NL 59003 57529,COUNTY,33390200001037000001.0,DISASTER RECOVERY CENTER,"1600 21ST ST. VERO BEACH , FL 32960",-8950296.11235691,3203731.7398059745
NORTH INDIAN RIVER COUNTY LIBRARY,1001 SEBASTIAN BLVD,SEBASTIAN,32958,INDIAN RIVER,"-80.49730059,27.77795554",17R NL 49527 72707,COUNTY,31381400004000000000.7,DISASTER RECOVERY CENTER,"1001 SEBASTIAN BLVD SEBASTIAN , FL 32958",-8960918.511676176,3221007.7969756336
INDIAN RIVER COUNTY ADMIN. BLDG,1801 27TH ST,VERO BEACH,32960,INDIAN RIVER,"-80.40344376,27.64638513",17R NL 58845 58173,COUNTY,32393500004001000001.0,DISASTER RECOVERY CENTER,"1801 27TH ST VERO BEACH , FL 32960",-8950470.417472344,3204463.7543827784
OUR LADY OF GUADALUPE CATHOLIC CHURCH,12896 COUNTY ROAD 512,FELLSMERE,32948,INDIAN RIVER,"-80.59117334,27.76841611",17R NL 40282 71616,,31370000001155300001.0,DISASTER RECOVERY CENTER,"12896 COUNTY ROAD 512 FELLSMERE , FL 32948",-8971368.379137876,3219807.6099633616
INDIAN RIVER MALL,6200 20TH STREET,VERO BEACH,32966,INDIAN RIVER,"-80.46167786,27.64131862",17R NL 53103 57586,,33390500007000000001.0,DISASTER RECOVERY CENTER,"6200 20TH STREET VERO BEACH , FL 32966",-8956953.008172687,3203827.074798863
INDIAN RIVER FAIRGROUNDS,7900 58TH AVE,VERO BEACH,32967,INDIAN RIVER,"-80.44776727,27.73825013",17R NL 54428 68329,COUNTY,31393200000700000002.0,DISASTER RECOVERY CENTER,"7900 58TH AVE VERO BEACH , FL 32967",-8955404.487602795,3216013.0205720128
NORTH COUNTY AQUATIC CENTER,9450 COUNTY ROAD 512,SEBASTIAN,32958,INDIAN RIVER,"-80.52097929,27.76846288",17R NL 47199 71646,STATE,31382200000100000001.0,DISASTER RECOVERY CENTER,"9450 COUNTY ROAD 512 SEBASTIAN , FL 32958",-8963554.412442062,3219813.493069138
INDIAN RIVER COUNTY BRACKETT LIBRARY,6155 COLLEGE LN,VERO BEACH,32966,INDIAN RIVER,"-80.45247096,27.63375111",17R NL 54015 56751,SPECIAL TAXING DISTRICT,33390500001015000001.0,DISASTER RECOVERY CENTER,"6155 COLLEGE LN VERO BEACH , FL 32966",-8955928.099842403,3202876.164747429
VERO BEACH POLICE DEPARTMENT,1055 20TH PL,VERO BEACH,32960,INDIAN RIVER,"-80.39455850,27.63843846",17R NL 59726 57297,MUNICIPAL,33390100023002000009.0,DISASTER RECOVERY CENTER,"1055 20TH PL VERO BEACH , FL 32960",-8949481.314874085,3203465.1550586442
INDIAN RIVER SHORES TOWN HALL,6001 A1A,VERO BEACH,32963,INDIAN RIVER,"-80.37209754,27.69226956",17R NL 61912 63271,MUNICIPAL,32401800018001000000.0,DISASTER RECOVERY CENTER,"6001 A1A VERO BEACH , FL 32963",-8946980.972313667,3210231.1296601524
BARBER STREET SPORTS COMPLEX,1115 BARBER ST,SEBASTIAN,32958,INDIAN RIVER,"-80.48753693,27.77892187",17R NL 50489 72818,MUNICIPAL,31382400001208000001.0,DISASTER RECOVERY CENTER,"1115 BARBER ST SEBASTIAN , FL 32958",-8959831.62603111,3221129.3802280044
SEBASTIAN CITY HALL,1225 MAIN ST,SEBASTIAN,32958,INDIAN RIVER,"-80.47474208,27.81743752",17R NL 51731 77089,MUNICIPAL,31390600005000200001.0,DISASTER RECOVERY CENTER,"1225 MAIN ST SEBASTIAN , FL 32958",-8958407.309716314,3225976.2744834903
JACKSON COUNTY AGRICULTURAL CENTER,3631 HWY 90,MARIANNA,32448,JACKSON,"-85.29417336,30.78257810",16R FV 63228 06750,COUNTY,36-5N-11-0000-0140-0000,DISASTER RECOVERY CENTER,"3631 HWY 90 MARIANNA , FL 32448",-9494903.946151363,3604544.84467442
JACKSON COUNTY BOARD OF COUNTY COMMISIONERS BLDG,2864 MADISON ST,MARIANNA,32448,JACKSON,"-85.22541532,30.77345764",16R FV 69824 05841,COUNTY,03-4N-10-0346-0000-0940,DISASTER RECOVERY CENTER,"2864 MADISON ST MARIANNA , FL 32448",-9487249.83638822,3603363.1216275436
MAYO COMMUNITY CENTER,150 SW COMMUNITY CIR,MAYO,32066,LAFAYETTE,"-83.18427025,30.05563098",17R KP 89424 26960,COUNTY,1405110000000000200,DISASTER RECOVERY CENTER,"150 SW COMMUNITY CIR MAYO , FL 32066",-9260030.606769545,3510702.6934928433
LAFAYETTE COUNTY LIBRARY,120 NE CRAWFORD ST,MAYO,32066,LAFAYETTE,"-83.17499631,30.05414177",17R KP 90315 26778,,,DISASTER RECOVERY CENTER,"120 NE CRAWFORD ST MAYO , FL 32066",-9258998.236479284,3510511.1634660857
DAY COMMUNITY CENTER,4673 N COUNTY ROAD 53,DAY,32013,LAFAYETTE,"-83.29207189,30.19571427",17R KP 79340 42693,COUNTY,2603100005001000010,DISASTER RECOVERY CENTER,"4673 N COUNTY ROAD 53 DAY , FL 32013",-9272031.030311082,3528731.976429316
LEESBURG COMMUNITY CENTER,109 E DIXIE AVE,LEESBURG,34748,LAKE,"-81.87453670,28.80642253",17R MM 14660 86853,,,DISASTER RECOVERY CENTER,"109 E DIXIE AVE LEESBURG , FL 34748",-9114231.73484782,3351030.956082989
GROVELAND COMMUNITY CENTER,243 S LAKE AVE,GROVELAND,34736,LAKE,"-81.85667472,28.55945216",17R MM 16206 59477,,,DISASTER RECOVERY CENTER,"243 S LAKE AVE GROVELAND , FL 34736",-9112243.347494952,3319692.7692901846
LAKE-VIA PORT MALL,10401 US HWY 441,LEESBURG,34788,LAKE,"-81.78630530,28.82538850",17R MM 23284 88894,,,DISASTER RECOVERY CENTER,"10401 US HWY 441 LEESBURG , FL 34788",-9104409.859828161,3353440.619411849
EUSTIS COMMUNITY CENTER,601 NORTHSIDE DRIVE,MOUNT DORA,32757,LAKE,"-81.65307900,28.81504900",17R MM 36276 87669,,301927160000001400,DISASTER RECOVERY CENTER,"601 NORTHSIDE DRIVE MOUNT DORA , FL 32757",-9089579.175957166,3352126.911262134
BONITA SPRINGS RECREATIONAL CENTER (FIXED),26740 PINE AVE,BONITA SPRINGS, ,LEE,"-81.78653668,26.34857328",17R MK 21517 14526,,,DISASTER RECOVERY CENTER,"26740 PINE AVE BONITA SPRINGS , FL  ",-9104435.617046662,3042317.6815742576
KARL DREWS COMMUNITY CENTER,18412 LEE RD.,FORT MYERS,33912,LEE,"-81.81419912,26.47196165",17R MK 18843 28209,,,DISASTER RECOVERY CENTER,"18412 LEE RD. FORT MYERS , FL 33912",-9107514.985740777,3057653.8177208323
SCHANDLER HALL,419 FLORENCE AVE,FORT MYERS,33905,LEE,,,,,DISASTER RECOVERY CENTER,"419 FLORENCE AVE FORT MYERS , FL 33905",-9107702.893337008,3083072.636519991
LAKE KENNEDY CENTER,400 SANTA BARBARA BLVD.,CAPE CORAL,33991,LEE,"-81.97584957,26.64205647",17R MK 02873 47161,,,DISASTER RECOVERY CENTER,"400 SANTA BARBARA BLVD. CAPE CORAL , FL 33991",-9125509.831665479,3078822.171043101
EMERGENT TECH INSTITUTE (FIXED),16301 INNOVATION LN,FORT MYERS,33913,LEE,,,,,DISASTER RECOVERY CENTER,"16301 INNOVATION LN FORT MYERS , FL 33913",-9100480.203604162,3060796.3229806316
BAY OAKS RECREATION CENTER,2731 OAK ST,FORT MYERS BEACH,33931,LEE,,,,,DISASTER RECOVERY CENTER,"2731 OAK ST FORT MYERS BEACH , FL 33931",-9121594.371506222,3054964.0216311906
SANIBEL COMMUNITY HOUSE,2173 PERIWINKLE RD,SANIBEL-CAPTIVA,22957,LEE,,,,,DISASTER RECOVERY CENTER,"2173 PERIWINKLE RD SANIBEL-CAPTIVA , FL 22957",-9136254.986668767,3053336.959013991
STARS COMPLEX,2980 EDISON AVE.,FORT MYERS,33916,LEE,"-81.85238064,26.63314568",17R MK 15156 46086,MUNICIPAL,194425P4004000010,DISASTER RECOVERY CENTER,"2980 EDISON AVE. FORT MYERS , FL 33916",-9111765.333213024,3077712.4388274862
WALKER-FORD COMMUNITY CENTER,2281 PASCO ST,TALLAHASSEE,32310,LEON,"-84.29262105,30.41769624",16R GU 60067 68183,,,DISASTER RECOVERY CENTER,"2281 PASCO ST TALLAHASSEE , FL 32310",-9383411.652601453,3557354.5891761803
