,CITY,COUNTY,LAT,LONG,NAME_OTHER,FACILITY_TYPE,DESCRIPTION,FAC_STATUS,drcm_Longitude,drcm_Latitude,drc_Longitude,drc_Latitude,prisch_Longitude,prisch_Latitude,LONGLAT,pubsch_Longitude,pubsch_Latitude,emf_Longitude,emf_Latitude,eoc_Longitude,eoc_Latitude,ra_Longitude,ra_Latitude,TTL_BEDS,hf_Longitude,hf_Latitude
3730,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.53580001,28.08390002",-82.53580001,28.08390002,,,,,,,,,
3731,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.50343868,27.92380584",-82.50343868,27.92380584,,,,,,,,,
3732,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.51877988,28.01235308",-82.51877988,28.01235308,,,,,,,,,
3733,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.42728897,27.99688227",-82.42728897,27.99688227,,,,,,,,,
3734,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43607501,28.00939582",-82.43607501,28.00939582,,,,,,,,,
3735,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.48321303,28.00449669",-82.48321303,28.00449669,,,,,,,,,
3736,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43191047,28.03305836",-82.43191047,28.03305836,,,,,,,,,
3737,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.41541222,27.99647534",-82.41541222,27.99647534,,,,,,,,,
3738,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.44588626,27.96290600",-82.44588626,27.96290600,,,,,,,,,
3739,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.44165468,28.05224199",-82.44165468,28.05224199,,,,,,,,,
3740,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.56220001,28.00129998",-82.56220001,28.00129998,,,,,,,,,
3741,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.36460313,28.15203854",-82.36460313,28.15203854,,,,,,,,,
3742,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.48313907,27.98728307",-82.48313907,27.98728307,,,,,,,,,
3743,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.50338598,28.10049691",-82.50338598,28.10049691,,,,,,,,,
3744,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.46170000,27.96379999",-82.46170000,27.96379999,,,,,,,,,
3745,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.47747622,27.95904653",-82.47747622,27.95904653,,,,,,,,,
3746,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.47355470,27.98234646",-82.47355470,27.98234646,,,,,,,,,
3747,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.45229977,27.94922939",-82.45229977,27.94922939,,,,,,,,,
3748,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.46290235,27.96798876",-82.46290235,27.96798876,,,,,,,,,
3749,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.51880108,27.95594821",-82.51880108,27.95594821,,,,,,,,,
3750,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.48454289,28.03007672",-82.48454289,28.03007672,,,,,,,,,
3751,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43426247,27.99940151",-82.43426247,27.99940151,,,,,,,,,
3752,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.41019184,28.02629960",-82.41019184,28.02629960,,,,,,,,,
3753,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.45229977,27.94922939",-82.45229977,27.94922939,,,,,,,,,
3754,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.46609279,28.03501686",-82.46609279,28.03501686,,,,,,,,,
3755,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.50950265,27.98091187",-82.50950265,27.98091187,,,,,,,,,
3756,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.47000000,27.93760000",-82.47000000,27.93760000,,,,,,,,,
3757,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.63454622,28.07240879",-82.63454622,28.07240879,,,,,,,,,
3758,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.40657170,27.99204150",-82.40657170,27.99204150,,,,,,,,,
3759,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.57572347,28.01416819",-82.57572347,28.01416819,,,,,,,,,
3760,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.50926771,27.89996889",-82.50926771,27.89996889,,,,,,,,,
3761,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.31777050,28.15718702",-82.31777050,28.15718702,,,,,,,,,
3762,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.32987574,28.14094662",-82.32987574,28.14094662,,,,,,,,,
3763,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.51990644,27.95375873",-82.51990644,27.95375873,,,,,,,,,
3764,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.38580000,28.09769998",-82.38580000,28.09769998,,,,,,,,,
3765,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.50878783,27.93276656",-82.50878783,27.93276656,,,,,,,,,
3766,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.45660467,27.98764161",-82.45660467,27.98764161,,,,,,,,,
3767,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43326845,28.02964406",-82.43326845,28.02964406,,,,,,,,,
3768,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43753787,27.99823005",-82.43753787,27.99823005,,,,,,,,,
3769,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43191047,28.03305836",-82.43191047,28.03305836,,,,,,,,,
3770,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.48789999,28.02870002",-82.48789999,28.02870002,,,,,,,,,
3771,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.47379462,27.95965596",-82.47379462,27.95965596,,,,,,,,,
3772,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.37537035,28.00794842",-82.37537035,28.00794842,,,,,,,,,
3773,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.44668739,28.02625051",-82.44668739,28.02625051,,,,,,,,,
3774,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43846141,27.97915481",-82.43846141,27.97915481,,,,,,,,,
3775,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.51488834,27.92981668",-82.51488834,27.92981668,,,,,,,,,
3776,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.52475856,27.87686712",-82.52475856,27.87686712,,,,,,,,,
3777,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.60418458,28.02269286",-82.60418458,28.02269286,,,,,,,,,
3778,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43416101,28.07042857",-82.43416101,28.07042857,,,,,,,,,
3779,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.45964895,27.98169560",-82.45964895,27.98169560,,,,,,,,,
3780,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.63281884,28.07261925",-82.63281884,28.07261925,,,,,,,,,
3781,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.49840000,28.00779999",-82.49840000,28.00779999,,,,,,,,,
3782,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43599392,27.99723841",-82.43599392,27.99723841,,,,,,,,,
3783,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43151994,28.07157256",-82.43151994,28.07157256,,,,,,,,,
3784,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.34179755,27.96673405",-82.34179755,27.96673405,,,,,,,,,
3785,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.57315307,28.07796534",-82.57315307,28.07796534,,,,,,,,,
3786,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.47908041,27.84724733",-82.47908041,27.84724733,,,,,,,,,
3787,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43611251,27.97474441",-82.43611251,27.97474441,,,,,,,,,
3788,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.46399998,27.98839999",-82.46399998,27.98839999,,,,,,,,,
3789,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.47138285,27.96000184",-82.47138285,27.96000184,,,,,,,,,
3790,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.41179301,27.99321473",-82.41179301,27.99321473,,,,,,,,,
3791,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.35778464,27.91023260",-82.35778464,27.91023260,,,,,,,,,
3792,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.48790000,27.88919999",-82.48790000,27.88919999,,,,,,,,,
3793,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.32418043,28.14099652",-82.32418043,28.14099652,,,,,,,,,
3794,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.41014604,27.99119856",-82.41014604,27.99119856,,,,,,,,,
3795,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.57420424,27.99253875",-82.57420424,27.99253875,,,,,,,,,
3796,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43719999,27.95720000",-82.43719999,27.95720000,,,,,,,,,
3797,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.39240000,28.00950002",-82.39240000,28.00950002,,,,,,,,,
3798,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.45906587,27.98951736",-82.45906587,27.98951736,,,,,,,,,
3799,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.51538326,27.87477205",-82.51538326,27.87477205,,,,,,,,,
3800,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.34216327,27.96755568",-82.34216327,27.96755568,,,,,,,,,
3801,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.46714418,28.04234913",-82.46714418,28.04234913,,,,,,,,,
3802,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.59226763,28.04546290",-82.59226763,28.04546290,,,,,,,,,
3803,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.49938981,28.05223433",-82.49938981,28.05223433,,,,,,,,,
3804,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.46071205,27.96258247",-82.46071205,27.96258247,,,,,,,,,
3805,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.37640832,28.05299283",-82.37640832,28.05299283,,,,,,,,,
3806,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.54836922,28.04115626",-82.54836922,28.04115626,,,,,,,,,
3807,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.61649560,28.06740808",-82.61649560,28.06740808,,,,,,,,,
3808,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.35736082,27.91282248",-82.35736082,27.91282248,,,,,,,,,
3809,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.36956659,27.93825067",-82.36956659,27.93825067,,,,,,,,,
3810,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.47827083,28.05760214",-82.47827083,28.05760214,,,,,,,,,
3811,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.50305215,27.88272003",-82.50305215,27.88272003,,,,,,,,,
3812,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.51450984,27.99796878",-82.51450984,27.99796878,,,,,,,,,
3813,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.45280001,28.01400002",-82.45280001,28.01400002,,,,,,,,,
3814,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.38311702,28.13324314",-82.38311702,28.13324314,,,,,,,,,
3815,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.41052034,27.99280300",-82.41052034,27.99280300,,,,,,,,,
3816,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43310001,27.98410001",-82.43310001,27.98410001,,,,,,,,,
3817,TAMPA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43628224,27.93537711",-82.43628224,27.93537711,,,,,,,,,
3818,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.32755925,28.02623106",-82.32755925,28.02623106,,,,,,,,,
3819,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.28430997,27.97314742",-82.28430997,27.97314742,,,,,,,,,
3820,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.28570000,28.02290000",-82.28570000,28.02290000,,,,,,,,,
3821,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27270652,27.98229069",-82.27270652,27.98229069,,,,,,,,,
3822,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27898659,27.99724245",-82.27898659,27.99724245,,,,,,,,,
3823,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.30395214,27.98273291",-82.30395214,27.98273291,,,,,,,,,
3824,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.28493123,28.00777767",-82.28493123,28.00777767,,,,,,,,,
3825,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27883129,28.00804471",-82.27883129,28.00804471,,,,,,,,,
3826,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.28493123,28.00777767",-82.28493123,28.00777767,,,,,,,,,
3827,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.28134648,27.99668448",-82.28134648,27.99668448,,,,,,,,,
3828,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.29595473,28.00538945",-82.29595473,28.00538945,,,,,,,,,
3829,SEFFNER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27613020,27.96616162",-82.27613020,27.96616162,,,,,,,,,
3830,RUSKIN,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.40451602,27.72237782",-82.40451602,27.72237782,,,,,,,,,
3831,RUSKIN,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.47242137,27.67202432",-82.47242137,27.67202432,,,,,,,,,
3832,RUSKIN,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.47242137,27.67202432",-82.47242137,27.67202432,,,,,,,,,
3833,RUSKIN,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.40038871,27.72206155",-82.40038871,27.72206155,,,,,,,,,
3834,RUSKIN,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.40451602,27.72237782",-82.40451602,27.72237782,,,,,,,,,
3835,RUSKIN,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.43264521,27.71230283",-82.43264521,27.71230283,,,,,,,,,
3836,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.29982428,27.94392679",-82.29982428,27.94392679,,,,,,,,,
3837,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.31953441,27.95873186",-82.31953441,27.95873186,,,,,,,,,
3838,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.29515425,27.89800626",-82.29515425,27.89800626,,,,,,,,,
3839,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.29122665,27.94326758",-82.29122665,27.94326758,,,,,,,,,
3840,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27590825,27.90689468",-82.27590825,27.90689468,,,,,,,,,
3841,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.28058555,27.95155620",-82.28058555,27.95155620,,,,,,,,,
3842,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.30094353,27.95740183",-82.30094353,27.95740183,,,,,,,,,
3843,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27248191,27.91683448",-82.27248191,27.91683448,,,,,,,,,
3844,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27689999,27.94230000",-82.27689999,27.94230000,,,,,,,,,
3845,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.29982428,27.94392679",-82.29982428,27.94392679,,,,,,,,,
3846,BRANDON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.30757849,27.91536813",-82.30757849,27.91536813,,,,,,,,,
3847,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.12930026,28.02799317",-82.12930026,28.02799317,,,,,,,,,
3848,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.12514939,28.00705437",-82.12514939,28.00705437,,,,,,,,,
3849,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.14660001,28.01829999",-82.14660001,28.01829999,,,,,,,,,
3850,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.12780021,27.99088629",-82.12780021,27.99088629,,,,,,,,,
3851,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.12361515,28.00265076",-82.12361515,28.00265076,,,,,,,,,
3852,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.17580453,28.05018351",-82.17580453,28.05018351,,,,,,,,,
3853,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.13249088,28.03961271",-82.13249088,28.03961271,,,,,,,,,
3854,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.07129515,27.97369165",-82.07129515,27.97369165,,,,,,,,,
3855,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.13830022,27.96616951",-82.13830022,27.96616951,,,,,,,,,
3856,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.14363758,28.01770804",-82.14363758,28.01770804,,,,,,,,,
3857,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.12361515,28.00265076",-82.12361515,28.00265076,,,,,,,,,
3858,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.13464781,28.00442810",-82.13464781,28.00442810,,,,,,,,,
3859,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.17226834,27.88894774",-82.17226834,27.88894774,,,,,,,,,
3860,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.17087217,27.94744067",-82.17087217,27.94744067,,,,,,,,,
3861,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.17130002,27.94350000",-82.17130002,27.94350000,,,,,,,,,
3862,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.13464781,28.00442810",-82.13464781,28.00442810,,,,,,,,,
3863,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.15529998,28.07560002",-82.15529998,28.07560002,,,,,,,,,
3864,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.11350001,28.01280000",-82.11350001,28.01280000,,,,,,,,,
3865,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.16969998,27.97720002",-82.16969998,27.97720002,,,,,,,,,
3866,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.13249088,28.03961271",-82.13249088,28.03961271,,,,,,,,,
3867,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.12006669,28.02043294",-82.12006669,28.02043294,,,,,,,,,
3868,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.12780021,27.99088629",-82.12780021,27.99088629,,,,,,,,,
3869,PLANT CITY,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.10828337,28.01578103",-82.10828337,28.01578103,,,,,,,,,
3870,GIBSONTON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.36547591,27.79313539",-82.36547591,27.79313539,,,,,,,,,
3871,GIBSONTON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.36972559,27.79538928",-82.36972559,27.79538928,,,,,,,,,
3872,GIBSONTON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.36879998,27.84939998",-82.36879998,27.84939998,,,,,,,,,
3873,GIBSONTON,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.36316404,27.79360478",-82.36316404,27.79360478,,,,,,,,,
3874,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27273059,27.85333560",-82.27273059,27.85333560,,,,,,,,,
3875,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27980000,27.84789998",-82.27980000,27.84789998,,,,,,,,,
3876,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.35664359,27.87723248",-82.35664359,27.87723248,,,,,,,,,
3877,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.28889686,27.80265807",-82.28889686,27.80265807,,,,,,,,,
3878,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.32352257,27.80053670",-82.32352257,27.80053670,,,,,,,,,
3879,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.31658255,27.81120683",-82.31658255,27.81120683,,,,,,,,,
3880,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.31788562,27.88951184",-82.31788562,27.88951184,,,,,,,,,
3881,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.30916779,27.88843236",-82.30916779,27.88843236,,,,,,,,,
3882,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27293956,27.85268232",-82.27293956,27.85268232,,,,,,,,,
3883,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.25781167,27.84939072",-82.25781167,27.84939072,,,,,,,,,
3884,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.27109591,27.85416022",-82.27109591,27.85416022,,,,,,,,,
3885,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.33275671,27.85446760",-82.33275671,27.85446760,,,,,,,,,
3886,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.25695826,27.84874017",-82.25695826,27.84874017,,,,,,,,,
3887,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.32451115,27.87479330",-82.32451115,27.87479330,,,,,,,,,
3888,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.33715688,27.91908072",-82.33715688,27.91908072,,,,,,,,,
3889,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.35332710,27.88535163",-82.35332710,27.88535163,,,,,,,,,
3890,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.32927442,27.88702586",-82.32927442,27.88702586,,,,,,,,,
3891,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.29670001,27.84469998",-82.29670001,27.84469998,,,,,,,,,
3892,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.31270000,27.85170002",-82.31270000,27.85170002,,,,,,,,,
3893,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.33275671,27.85446760",-82.33275671,27.85446760,,,,,,,,,
3894,RIVERVIEW,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.31923711,27.83360938",-82.31923711,27.83360938,,,,,,,,,
3895,ODESSA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.57420659,28.11337494",-82.57420659,28.11337494,,,,,,,,,
3896,ODESSA,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.57657092,28.11206459",-82.57657092,28.11206459,,,,,,,,,
3897,DOVER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.23782481,28.02005907",-82.23782481,28.02005907,,,,,,,,,
3898,DOVER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.20434954,27.90770053",-82.20434954,27.90770053,,,,,,,,,
3899,DOVER,HILLSBOROUGH,,,,PUBLIC SCHOOL,,,,,,,,,"-82.23587561,28.02289745",-82.23587561,28.02289745,,,,,,,,,
