,CITY,COUNTY,FACILITY_TYPE,TTL_BEDS,hos_Longitude,hos_Latitude,hf_Longitude,hf_Latitude
1584,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,5.0,,,-81.70963300,30.31892100
1585,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,5.0,,,-81.59808400,30.20937800
1586,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,5.0,,,-81.75091300,30.24999000
1587,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,5.0,,,-81.58441200,30.32478500
1588,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,5.0,,,-81.65522900,30.38603800
1589,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,14.0,,,-81.72616300,30.27850000
1590,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,14.0,,,-81.58332400,30.20211000
1591,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,14.0,,,-81.65638200,30.35841300
1592,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,14.0,,,-81.63795700,30.33404500
1593,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,14.0,,,-81.64036900,30.29646700
1594,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,10.0,,,-81.69352300,30.40738600
1595,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,10.0,,,-81.68120000,30.34809300
1596,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,10.0,,,-81.56890300,30.33536000
1597,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,46.0,,,-81.68194600,30.31369400
1598,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,4.0,,,-81.66648600,30.36763600
1599,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,4.0,,,-81.70184100,30.32380800
1600,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,,,,-81.56108933,30.23726651
1601,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,,,,-81.54927965,30.19738488
1602,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,,,,-81.74259125,30.40029892
1603,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,,,,-81.64013473,30.35214875
1604,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,,,,-81.40496327,30.29473018
1605,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,,,,-81.65667177,30.34334068
1606,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,,,,-81.76290511,30.26530374
1607,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,,,,-81.60603812,30.32181048
1608,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,,,,-81.70978659,30.30186938
1609,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,60.0,,,-81.71896100,30.29011800
1610,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,60.0,,,-81.55939100,30.23714100
1611,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,60.0,,,-81.60533300,30.17831300
1612,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,55.0,,,-81.45475400,30.25506200
1613,ATLANTIC BEACH,DUVAL,ASSISTED LIVING FACILITY,,,,-81.41363413,30.35368424
1614,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,24.0,,,-81.76217100,30.27924300
1615,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,38.0,,,-81.55048100,30.35945900
1616,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,38.0,,,-81.61130600,30.19437200
1617,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,90.0,,,-81.62104900,30.28594000
1618,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,26.0,,,-81.59408100,30.33352300
1619,ATLANTIC BEACH,DUVAL,ASSISTED LIVING FACILITY,14.0,,,-81.42079100,30.32541300
1620,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,94.0,,,-81.58466200,30.24877300
1621,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,115.0,,,-81.54215100,30.33103300
1622,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,288.0,,,-81.60730000,30.18275800
1623,ATLANTIC BEACH,DUVAL,ASSISTED LIVING FACILITY,76.0,,,-81.40272900,30.33162000
1624,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,44.0,,,-81.63292600,30.34535000
1625,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,93.0,,,-81.71761200,30.38837400
1626,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,16.0,,,-81.67593000,30.35802100
1627,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,57.0,,,-81.70932700,30.31070500
1628,OAK HILL,DUVAL,RURAL HEALTH CLINIC,0.0,,,-81.75117800,30.24575100
1629,JACKSONVILLE,DUVAL,RESIDENTIAL TREATMENT FACILITY,12.0,,,-81.59120100,30.27217600
1630,JACKSONVILLE,DUVAL,RESIDENTIAL TREATMENT FACILITY,39.0,,,-81.57843000,30.26030000
1631,JACKSONVILLE,DUVAL,RESIDENTIAL TREATMENT FACILITY,8.0,,,-81.57767100,30.28970200
1632,JACKSONVILLE,DUVAL,HOSPICE,16.0,,,-81.44764763,30.25678801
1633,JACKSONVILLE,DUVAL,HOSPICE,16.0,,,-81.74015752,30.31394737
1634,JACKSONVILLE,DUVAL,HOSPICE,38.0,,,-81.60539607,30.20508068
1635,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.60378700,30.32899700
1636,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.65621700,30.33147400
1637,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.52586400,30.28930100
1638,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.66584500,30.33434800
1639,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.68218300,30.31734700
1640,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.60255000,30.28564700
1641,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.63082200,30.47277000
1642,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.58841200,30.25384200
1643,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.66430500,30.34681900
1644,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.68457600,30.38627500
1645,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.65182357,30.31102401
1646,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.55039200,30.32627800
1647,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.77602400,30.29499900
1648,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.66904100,30.33208300
1649,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.60640300,30.26463300
1650,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.52045900,30.14178300
1651,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.39082400,30.27237100
1652,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.58398400,30.25379100
1653,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.64717900,30.30779600
1654,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.66500845,30.37190478
1655,JACKSONVILLE,DUVAL,END-STAGE RENAL DISEASE,0.0,,,-81.69429300,30.42856600
1656,JACKSONVILLE,DUVAL,CRISIS STABILIZATION UNIT,30.0,,,-81.72731114,30.35648359
1657,JACKSONVILLE,DUVAL,CRISIS STABILIZATION UNIT,16.0,,,-81.50864658,30.28631056
1658,JACKSONVILLE,DUVAL,BIRTH CENTER,0.0,,,-81.68265200,30.31801100
1659,JACKSONVILLE,DUVAL,BIRTH CENTER,0.0,,,-81.39002590,30.27212437
1660,JACKSONVILLE,DUVAL,BIRTH CENTER,0.0,,,-81.57746900,30.28996600
1661,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.60048700,30.28358500
1662,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.58470000,30.24890500
1663,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.58488700,30.25421700
1664,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.60220300,30.28908600
1665,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.43762300,30.26421100
1666,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.69451500,30.31015700
1667,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.70239800,30.22573700
1668,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.59533300,30.24226900
1669,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.68216200,30.31653500
1670,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.57804290,30.24970780
1671,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.54295497,30.24877744
1672,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.58140000,30.24828500
1673,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.58443700,30.25657700
1674,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.54374900,30.23845200
1675,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.68995700,30.31069400
1676,JACKSONVILLE,DUVAL,AMBULATORY SURGICAL CENTER,,,,-81.61779775,30.29138211
1677,JACKSONVILLE BEACH,DUVAL,AMBULATORY SURGICAL CENTER,0.0,,,-81.38789500,30.26329600
1678,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,29.0,,,-81.65733300,30.34393400
1679,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,3.0,,,-81.58956300,30.32380800
1680,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,105.0,,,-81.62177000,30.25695600
1681,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,170.0,,,-81.60632000,30.18046800
1682,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,67.0,,,-81.44312300,30.26589800
1683,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,17.0,,,-81.62609400,30.25217900
1684,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,40.0,,,-81.69040100,30.31244900
1685,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,7.0,,,-81.58441200,30.32478500
1686,JACKSONVILLE,DUVAL,BLOOD BANK,0.0,,,-81.54379226,30.24061479
1687,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,30.0,,,-81.75173200,30.28203900
1688,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,62.0,,,-81.55015900,30.19808800
1689,JACKSONVILLE,DUVAL,ASSISTED LIVING FACILITY,0.0,,,-81.72093100,30.35084784
1690,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,105.0,,,-87.22274000,30.48356800
1691,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,6.0,,,-87.22976200,30.41516300
1692,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,180.0,,,-87.31004449,30.51413321
1693,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,10.0,,,-87.26768100,30.42992200
1694,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,82.0,,,-87.20725721,30.53949798
1695,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,,,,-87.21885336,30.53400307
1696,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,,,,-87.22325484,30.47571035
1697,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,0.0,,,-87.22228600,30.47448300
1698,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,0.0,,,-87.22409900,30.46456800
1699,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,0.0,,,-87.22350300,30.46531200
1700,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,0.0,,,-87.21037700,30.48183500
1701,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,0.0,,,-87.22114900,30.53232600
1702,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,0.0,,,-87.22499200,30.47158000
1703,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,0.0,,,-87.21724100,30.51491800
1704,PENSACOLA,ESCAMBIA,AMBULATORY SURGICAL CENTER,0.0,,,-87.22445200,30.46739000
1705,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,60.0,,,-87.22077200,30.52243000
1706,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,60.0,,,-87.30626000,30.48859700
1707,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,72.0,,,-87.21168200,30.51961800
1708,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,14.0,,,-87.26847100,30.43666000
1709,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,14.0,,,-87.21610200,30.49513300
1710,CANTONMENT,ESCAMBIA,ASSISTED LIVING FACILITY,44.0,,,-87.30456200,30.53503300
1711,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,100.0,,,-87.16846800,30.50529300
1712,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,100.0,,,-87.16859400,30.50528200
1713,CENTURY,ESCAMBIA,AMBULATORY SURGICAL CENTER,,,,-87.27468942,30.97281934
1714,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,,,,-87.22071873,30.49682159
1715,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,,,,-87.32359274,30.43133696
1716,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,,,,-87.23476864,30.42855804
1717,PENSACOLA,ESCAMBIA,CRISIS STABILIZATION UNIT,30.0,,,-87.23475209,30.43112870
1718,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,0.0,,,-87.22953300,30.43007300
1719,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,0.0,,,-87.21147800,30.47469600
1720,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,0.0,,,-87.20850600,30.42279700
1721,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,0.0,,,-87.21777500,30.51418900
1722,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,0.0,,,-87.31722900,30.42184200
1723,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,0.0,,,-87.31740000,30.41699000
1724,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,0.0,,,-87.20038400,30.47545600
1725,PENSACOLA,ESCAMBIA,END-STAGE RENAL DISEASE,0.0,,,-87.24282100,30.53273800
1726,CENTURY,ESCAMBIA,END-STAGE RENAL DISEASE,0.0,,,-87.27508135,30.97072512
1727,PENSACOLA,ESCAMBIA,HOSPICE,18.0,,,-87.21580472,30.53935373
1728,PENSACOLA,ESCAMBIA,INTERMEDIATE CARE FACILITY,,,,-87.25812398,30.47929166
1729,PENSACOLA,ESCAMBIA,INTERMEDIATE CARE FACILITY,,,,-87.25857041,30.52990567
1730,PENSACOLA,ESCAMBIA,INTERMEDIATE CARE FACILITY,,,,-87.21573026,30.54064982
1731,PENSACOLA,ESCAMBIA,INTERMEDIATE CARE FACILITY,,,,-87.24295398,30.53363550
1732,CENTURY,ESCAMBIA,INTERMEDIATE CARE FACILITY,,,,-87.25788429,30.96976803
1733,CENTURY,ESCAMBIA,INTERMEDIATE CARE FACILITY,,,,-87.25811529,30.97000218
1734,CANTONMENT,ESCAMBIA,INTERMEDIATE CARE FACILITY,,,,-87.32585927,30.62079533
1735,PENSACOLA,ESCAMBIA,RESIDENTIAL TREATMENT FACILITY,26.0,,,-87.23453244,30.43251185
1736,PENSACOLA,ESCAMBIA,RESIDENTIAL TREATMENT FACILITY,16.0,,,-87.20157600,30.43581800
1737,PENSACOLA,ESCAMBIA,RESIDENTIAL TREATMENT FACILITY,16.0,,,-87.23551911,30.43315402
1738,PENSACOLA,ESCAMBIA,RESIDENTIAL TREATMENT FACILITY,12.0,,,-87.23265000,30.43300000
1739,PENSACOLA,ESCAMBIA,RESIDENTIAL TREATMENT FACILITY,15.0,,,-87.23554232,30.43355100
1740,PENSACOLA,ESCAMBIA,RURAL HEALTH CLINIC,0.0,,,-87.31241700,30.53426000
1741,CENTURY,ESCAMBIA,RURAL HEALTH CLINIC,0.0,,,-87.25734100,30.98258200
1742,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,54.0,,,-87.20712997,30.53743103
1743,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,,,,-87.21418627,30.41642908
1744,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,,,,-87.19578708,30.50962119
1745,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,,,,-87.24328912,30.52589242
1746,CANTONMENT,ESCAMBIA,ASSISTED LIVING FACILITY,14.0,,,-87.28634200,30.54808300
1747,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,65.0,,,-87.20669300,30.50776200
1748,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,64.0,,,-87.28418000,30.44235200
1749,WALNUT HILL,ESCAMBIA,ASSISTED LIVING FACILITY,25.0,,,-87.51725114,30.78490048
1750,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,15.0,,,-87.31308300,30.42396300
1751,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,85.0,,,-87.22585200,30.51066800
1752,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,69.0,,,-87.30824787,30.42489791
1753,PENSACOLA,ESCAMBIA,ASSISTED LIVING FACILITY,98.0,,,-87.22134300,30.52763200
1754,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,120.0,,,-87.30617000,30.48961900
1755,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,120.0,,,-87.21862700,30.54042800
1756,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,120.0,,,-87.19822100,30.50988300
1757,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,120.0,,,-87.25178000,30.47256500
1758,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,120.0,,,-87.16782300,30.48229600
1759,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,120.0,,,-87.20111100,30.46677700
1760,CENTURY,ESCAMBIA,SKILLED NURSING FACILITY,88.0,,,-87.27308292,30.97130685
1761,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,170.0,,,-87.21364700,30.53946500
1762,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,118.0,,,-87.23936200,30.43105300
1763,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,180.0,,,-87.22083400,30.51754200
1764,PENSACOLA,ESCAMBIA,ADULT FAMILY CARE HOME,4.0,,,-87.20944000,30.44929700
1765,PENSACOLA,ESCAMBIA,ADULT FAMILY CARE HOME,4.0,,,-87.28501700,30.51134800
1766,PENSACOLA,ESCAMBIA,ADULT FAMILY CARE HOME,5.0,,,-87.26328100,30.45321000
1767,PENSACOLA,ESCAMBIA,ADULT FAMILY CARE HOME,5.0,,,-87.24721200,30.52392300
1768,PENSACOLA,ESCAMBIA,ADULT FAMILY CARE HOME,5.0,,,-87.30919200,30.44190300
1769,PENSACOLA,ESCAMBIA,ADULT FAMILY CARE HOME,5.0,,,-87.26583000,30.45409100
1770,PENSACOLA,ESCAMBIA,ADULT FAMILY CARE HOME,,,,-87.18696549,30.50175629
1771,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,155.0,,,-87.23177300,30.44331100
1772,PENSACOLA,ESCAMBIA,SKILLED NURSING FACILITY,210.0,,,-87.22440700,30.41401800
1773,PALM COAST,FLAGLER,ADULT FAMILY CARE HOME,5.0,,,-81.23875100,29.52319200
1774,PALM COAST,FLAGLER,ADULT FAMILY CARE HOME,5.0,,,-81.23000800,29.54926300
1775,PALM COAST,FLAGLER,ADULT FAMILY CARE HOME,5.0,,,-81.26321200,29.53968200
1776,PALM COAST ,FLAGLER,ADULT FAMILY CARE HOME,,,,,
1777,PALM COAST ,FLAGLER,ADULT FAMILY CARE HOME,,,,,
1778,PALM COAST ,FLAGLER,ADULT FAMILY CARE HOME,,,,,
1779,PALM COAST ,FLAGLER,ADULT FAMILY CARE HOME,,,,,
1780,PALM COAST ,FLAGLER,ADULT FAMILY CARE HOME,,,,,
1781,PALM COAST,FLAGLER,ADULT FAMILY CARE HOME,,,,,
1782,PALM COAST,FLAGLER,ADULT FAMILY CARE HOME,,,,,
1783,PALM COAST,FLAGLER,ADULT FAMILY CARE HOME,,,,,
1784,PALM COAST,FLAGLER,ADULT FAMILY CARE HOME,,,,,
1785,PALM COAST,FLAGLER,ADULT FAMILY CARE HOME,6.0,,,-81.24401300,29.58439100
1786,BUNNELL,FLAGLER,PUBLIC HEALTH OFFICE,,,,,
1787,BUNNELL,FLAGLER,SKILLED NURSING FACILITY,120.0,,,-81.25742900,29.46603400
1788,PALM COAST,FLAGLER,SKILLED NURSING FACILITY,120.0,,,-81.19632200,29.55722600
1789,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.21755500,29.50712500
1790,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.22342800,29.57016600
1791,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.23000800,29.54926300
1792,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.21946700,29.42862500
1793,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.20381200,29.55377600
1794,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.21815100,29.53411200
1795,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.24234400,29.51053300
1796,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.26108800,29.50803800
1797,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.22622000,29.51354900
1798,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.25572100,29.55590400
1799,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.23010100,29.47930300
1800,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.25628000,29.51928200
1801,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.22829100,29.53302400
1802,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.21263800,29.51742500
1803,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.21960300,29.53806800
1804,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.21223054,29.53030632
1805,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.22216900,29.54561300
1806,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.24667800,29.57835800
1807,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,6.0,,,-81.21821900,29.44979600
1808,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1809,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1810,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,,,,-81.21991851,29.53806055
1811,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1812,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,,,,-81.24219850,29.55265988
1813,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1814,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,,,,-81.23097534,29.59839028
1815,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1816,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1817,PALM COAST ,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1818,PALM COAST ,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1819,PALM COAST ,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1820,PALM COAST ,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1821,PALM COAST ,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1822,PALM COAST ,FLAGLER,ASSISTED LIVING FACILITY,,,,-81.21263473,29.53974251
1823,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,94.0,,,-81.19261500,29.48203300
1824,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,60.0,,,-81.20451900,29.56674400
1825,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,80.0,,,-81.21812500,29.44079800
1826,FLAGLER BEACH,FLAGLER,ASSISTED LIVING FACILITY,,,,,
1827,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,5.0,,,-81.26048100,29.54399700
1828,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,5.0,,,-81.25067800,29.56374300
1829,PALM COAST,FLAGLER,RURAL HEALTH CLINIC,0.0,,,-81.24612900,29.55146200
1830,BUNNELL,FLAGLER,INTERMEDIATE CARE FACILITY,,,,,
1831,PALM COAST,FLAGLER,HOSPICE,8.0,,,-81.18932693,29.47842487
1832,PALM COAST,FLAGLER,END-STAGE RENAL DISEASE,0.0,,,-81.24216200,29.55128700
1833,PALM COAST,FLAGLER,END-STAGE RENAL DISEASE,0.0,,,-81.21357400,29.55137400
1834,PALM COAST,FLAGLER,ASSISTED LIVING FACILITY,8.0,,,-81.22136400,29.49132600
1835,APALACHICOLA,FRANKLIN,RURAL HEALTH CLINIC,0.0,,,-84.98573360,29.72715359
1836,CARRABELLE,FRANKLIN,RURAL HEALTH CLINIC,0.0,,,-84.65951734,29.85259478
1837,CARRABELLE,FRANKLIN,ASSISTED LIVING FACILITY,30.0,,,-84.66693002,29.85633624
1838,CARRABELLE,FRANKLIN,ASSISTED LIVING FACILITY,90.0,,,-84.56760594,29.90400600
1839,APALACHICOLA,FRANKLIN,PUBLIC HEALTH OFFICE,0.0,,,-84.99330098,29.72441281
1840,CARABELLE,FRANKLIN,PUBLIC HEALTH OFFICE,0.0,,,-84.65955933,29.85218532
1841,HAVANA,GADSDEN,ADULT FAMILY CARE HOME,5.0,,,-84.38949100,30.60562300
1842,QUINCY,GADSDEN,SKILLED NURSING FACILITY,120.0,,,-84.55422800,30.56817400
1843,HAVANA,GADSDEN,ASSISTED LIVING FACILITY,3.0,,,-84.40999400,30.61864200
1844,HAVANA,GADSDEN,ASSISTED LIVING FACILITY,24.0,,,-84.38654400,30.66539100
1845,HAVANA,GADSDEN,ASSISTED LIVING FACILITY,24.0,,,-84.36830100,30.67482300
1846,QUINCY,GADSDEN,RESIDENTIAL TREATMENT FACILITY,16.0,,,-84.54952700,30.56780200
1847,QUINCY,GADSDEN,RURAL HEALTH CLINIC,0.0,,,-84.54968000,30.56809800
1848,QUINCY,GADSDEN,END-STAGE RENAL DISEASE,0.0,,,-84.55589700,30.56681500
1849,QUINCY,GADSDEN,ASSISTED LIVING FACILITY,44.0,,,-84.55301900,30.56908400
