Name,Address,City,Zip,COUNTY,LONGLAT,USNG,FACILITY_TYPE,SHELTER_TYPE,RPC_Region,Year_Built,Building,AS_IS_A_Retrofit_R,Generator_Type,PreMitigation_Capacity_Spaces,PreMitigation_Square_Footage,EHPA_Capacity_Gained_Spaces,EHPA_Square_Footage_Gained,Retrofit_Capacity_Gained_Spaces,Retrofit_Square_Footage_Gained,Risk_Capacity_Spaces,Risk_Square_Footage,Planned_Usage_Spaces,FundingSource_F_Federal_State_S,Evacuation_Zone,SURGE_ZONE,FLOOD_ZONE,EHPA,General_Pop,SPECIAL_NEEDS,Pet_Friendly,Does_not_meet_ARC_4496,Survey_Needed,x,y
Matanzas HS,3535 N Old Kings Rd,Palm Coast,32137,FLAGLER,"-81.23561001, 29.60471999",17R MN 77186 75009,SHELTER,RISK,4,2004,2 Auditorium / Music,A, ,0,0,0,0,0,0,437,8731,0, ,D,No,No,No,Yes, , , , ,-9043106.740045037,3452840.8050316917
Bunnell ES,305 N Palmetto St,Bunnell,32110,FLAGLER,"-81.25540001, 29.47276000",17R MN 75238 60392,SHELTER,RISK,4,2000,9 Classroom,R, ,0,0,0,0,144,2880,144,2800,0,S,No,No,No,No,Yes, , , , ,-9045309.753746124,3435956.5022535585
West Gadsden MS,200 Providence Rd,Quincy,32351,GADSDEN,"-84.73228130, 30.56734239",16R GU 17489 83843,SHELTER,RISK,2,2005,3 Voc Classroom / 4 Classroom,A,400 kW for campus,0,0,650,13004,0,0,650,13004,0, ,No,No,No,Yes,Yes, , , , ,-9432354.408198971,3576686.8732951186
Gadsden County HS,27001 Blue Star Memorial Hwy,Havana,32333,GADSDEN,"-84.49062840, 30.55143381",16R GU 40711 82571,SHELTER,RISK,2,2001,6 Gym,A,125 kW for campus,0,0,887,17744,0,0,887,17744,0, ,No,No,No,Yes,Yes, , , , ,-9405453.730526414,3574630.2833711877
West Gadsden MS,200 Providence Rd,Quincy,32351,GADSDEN,"-84.73228130, 30.56734239",16R GU 17489 83843,SHELTER,RISK,2,2005,8 / 9 Classroom,R,400 kW for campus,0,0,0,0,484,9686,484,9686,0, ,No,No,No,No,Yes, , , , ,-9432354.408198971,3576686.8732951186
Havana Magnet School,1210 Kemp Rd,Havana,32333,GADSDEN,"-84.39959882, 30.62400393",16R GU 49260 90815,SHELTER,RISK,2,1980,8F Classroom,A,300 kW for campus,0,0,0,0,0,0,51,1019,0, ,No,No,No,No,Yes, , , , ,-9395320.363616422,3584014.5660668076
West Gadsden MS,200 Providence Rd,Quincy,32351,GADSDEN,"-84.73228130, 30.56734239",16R GU 17489 83843,SHELTER,RISK,2,2005,5 Gym,A,400 kW for campus,0,0,525,10491,0,0,525,10491,0, ,No,No,No,Yes,Yes, , , , ,-9432354.408198971,3576686.8732951186
Gadsden County HS,27001 Blue Star Memorial Hwy,Havana,32333,GADSDEN,"-84.49062840, 30.55143381",16R GU 40711 82571,SHELTER,RISK,2,2001,8 Classroom,R,125 kW for campus,0,0,0,0,133,2655,133,2655,0,S-1496-2010,No,No,No,No,Yes, , , , ,-9405453.730526414,3574630.2833711877
West Gadsden MS,200 Providence Rd,Quincy,32351,GADSDEN,"-84.73228130, 30.56734239",16R GU 17489 83843,SHELTER,RISK,2,2005,6 Music,R,400 kW for campus,0,0,0,0,160,3203,160,3203,0, ,No,No,No,No,Yes, , , , ,-9432354.408198971,3576686.8732951186
Havana Magnet School,1210 Kemp Rd,Havana,32333,GADSDEN,"-84.39959882, 30.62400393",16R GU 49260 90815,SHELTER,RISK,2,1992,6D Classroom,A,300 kW for campus,0,0,0,0,0,0,397,7935,0, ,No,No,No,No,Yes, , , , ,-9395320.363616422,3584014.5660668076
Havana Magnet School,1210 Kemp Rd,Havana,32333,GADSDEN,"-84.39959882, 30.62400393",16R GU 49260 90815,SHELTER,RISK,2,1992,7C Classroom,R,300 kW for campus,0,0,0,0,90,1801,90,1801,0,S-1621X,No,No,No,No,Yes, , , , ,-9395320.363616422,3584014.5660668076
Havana Magnet School,1210 Kemp Rd,Havana,32333,GADSDEN,"-84.39959882, 30.62400393",16R GU 49260 90815,SHELTER,RISK,2,1992,12H Cafeteria,R,300 kW for campus,0,0,0,0,219,4374,219,4374,0,S-1621X,No,No,No,No,Yes, , , , ,-9395320.363616422,3584014.5660668076
Gadsden County HS,27001 Blue Star Memorial Hwy,Havana,32333,GADSDEN,"-84.49062840, 30.55143381",16R GU 40711 82571,SHELTER,RISK,2,2001,5 Cafeteria,A,125 kW for campus,0,0,299,5984,0,0,299,5984,0, ,No,No,No,Yes,Yes, , , , ,-9405453.730526414,3574630.2833711877
West Gadsden MS,200 Providence Rd,Quincy,32351,GADSDEN,"-84.73228130, 30.56734239",16R GU 17489 83843,SHELTER,RISK,2,2005,7 Cafeteria,A,400 kW for campus,0,0,268,5367,0,0,268,5367,0, ,No,No,No,Yes,Yes, , , , ,-9432354.408198971,3576686.8732951186
Gadsden County HS,27001 Blue Star Memorial Hwy,Havana,32333,GADSDEN,"-84.49062840, 30.55143381",16R GU 40711 82571,SHELTER,RISK,2,2001,4 Classroom,A,125 kW for campus,0,0,1043,20854,0,0,1043,20854,0, ,No,No,No,Yes,Yes, , , ,Yes,-9405453.730526414,3574630.2833711877
Havana Magnet School,1210 Kemp Rd,Havana,32333,GADSDEN,"-84.39959882, 30.62400393",16R GU 49260 90815,SHELTER,RISK,2,1992,11J Gym,R,300 kW for campus,0,0,0,0,649,12979,649,12979,0,S-1621X,No,No,No,No,Yes, , , , ,-9395320.363616422,3584014.5660668076
Bell HS,930 S Main St,Bell,32619,GILCHRIST,"-82.85929998, 29.75151000",17R LN 20213 92699,SHELTER,RISK,3,1998,16 Gym / Multipurpose,A/R, ,0,0,0,0,711,14225,711,14225,467,F-HMGP,No,No,No,No,Yes, , , ,Yes,-9223855.081805607,3471648.593967654
Trenton ES,1350 SW SR26,Trenton,32693,GILCHRIST,"-82.83031569, 29.61354752",17R LN 22774 77363,SHELTER,RISK,3,2000,2 Cafeteria,A/R, ,0,0,0,0,262,5240,262,5240,492,S-1523-2002,No,No,No,No,Yes, , , ,Yes,-9220628.564748496,3453971.076061537
Trenton HS,1013 N Main St,Trenton,32963,GILCHRIST,"-82.81875001, 29.61922001",17R LN 23904 77974,SHELTER,RISK,3,2000,34 Gym,A/R, ,0,0,0,0,624,12484,624,12484,432,S-1523-2002,No,No,No,No,Yes, , , , ,-9219341.079703478,3454697.4307940262
Bell ES,2771 E Bell Ave,Bell,32619,GILCHRIST,"-82.85503997, 29.75072998",17R LN 20624 92605,SHELTER,RISK,3,1997,5 Cafeteria,A/R, ,0,0,0,0,271,5414,271,5414,492,S-1523-2002,No,No,No,No,Yes, , , , ,-9223380.858743591,3471548.579548047
Trenton HS,1013 N Main St,Trenton,32963,GILCHRIST,"-82.81875001, 29.61922001",17R LN 23904 77974,SHELTER,RISK,3,1991,28 Classroom,R, ,0,0,0,0,338,6753,338,6753,338,F-HMGP,No,No,No,No,Yes, , , ,Yes,-9219341.079703478,3454697.4307940262
Bell HS,930 S Main St,Bell,32619,GILCHRIST,"-82.85929998, 29.75151000",17R LN 20213 92699,SHELTER,RISK,3,1992,14 Classroom,R, ,0,0,0,0,270,5407,270,5407,270,S-1523-2002,No,No,No,No,Yes, , , , ,-9223855.081805607,3471648.593967654
Trenton HS,1013 N Main St,Trenton,32963,GILCHRIST,"-82.81875001, 29.61922001",17R LN 23904 77974,SHELTER,RISK,3,1991,30 Multiprpose,R, ,0,0,0,0,156,3127,156,3127,278,F-HMGP,No,No,No,No,Yes, , , ,Yes,-9219341.079703478,3454697.4307940262
Trenton HS,1013 N Main St,Trenton,32693,GILCHRIST,"-82.81875001, 29.61922001",17R LN 23904 77974,SHELTER,RISK,3,1991,27 Classroom,R, ,0,0,0,0,347,6931,347,6931,342,F-HMGP,No,No,No,No,Yes, , , ,Yes,-9219341.079703478,3454697.4307940262
Muse Community Center,3897 Loblolly Bay Rd,LaBelle,33935,GLADES,"-81.51464004, 26.82581998",17R MK 48861 67247,SHELTER,RISK,8,2002,Main,A,"Yes, unknown kW",0,0,0,0,137,2740,137,2740,46,LS,No,No,No,No,Yes, , , , ,-9074168.221530205,3101727.0607014447
West Glades ES,2586 Hwy 731,LaBelle,33935,GLADES,"-81.44293071, 26.80701992",17R MK 55979 65137,SHELTER,RISK,8,2003,5 Cafeteria,A,"Yes, unknown kW",0,0,208,4165,0,0,208,4165,594, ,No,No,No,Yes,Yes, ,Yes, , ,-9066185.57500221,3099382.0571826603
West Glades ES,2586 Hwy 731,LaBelle,33935,GLADES,"-81.44293071, 26.80701992",17R MK 55979 65137,SHELTER,RISK,8,2007,7 Gym,R, ,0,0,0,0,472,9440,472,9440,0, ,No,No,No,No,Yes, , , , ,-9066185.57500221,3099382.0571826603
West Glades ES,2586 Hwy 731,LaBelle,33935,GLADES,"-81.44293071, 26.80701992",17R MK 55979 65137,SHELTER,RISK,8,2007,4 Classroom,R, ,0,0,0,0,432,8640,432,8640,0, ,No,No,No,No,Yes, , , , ,-9066185.57500221,3099382.0571826603
Ortona Community Center,2130 Ortona Locks Rd,Moore Haven,33471,GLADES,"-81.31389002, 26.79791998",17R MK 68801 64091,SHELTER,RISK,8,2014,Main,R, ,0,0,0,0,83,1660,83,1660,65, ,No,No,No,No,Yes, , , , ,-9051820.83186027,3098247.1271491805
Maple Grove Baptist Church,12777 SR 78,Moore Haven,33471,GLADES,"-81.08878999, 26.99241001",17R MK 91190 85597,SHELTER,RISK,8,1998,Main,A,"Yes, unknown kW",0,0,0,0,265,5300,265,5300,343,L,C,3,No,No,Yes, , , , ,-9026762.810836444,3122523.5126538933
West Glades ES,2586 Hwy 731,LaBelle,33935,GLADES,"-81.44293071, 26.80701992",17R MK 55979 65137,SHELTER,RISK,8,2007,6 Classroom,R, ,0,0,0,0,474,9480,474,9480,0, ,No,No,No,No,Yes, , , , ,-9066185.57500221,3099382.0571826603
Wewahitchika HS (7-12),1 Gator Cir,Wewahitchka,32465,GULF,"-85.21659425, 30.06522958",16R FU 71906 27353,SHELTER,RISK,2,2005,16 middle school wing,A, ,0,0,186,3728,0,0,186,3728,228, ,No,No,No,Yes,Yes, , , , ,-9486267.879485859,3511937.256428199
Honeyville Community Center,240 Honeyville Park Dr,Wewahitchka,32465,GULF,"-85.19426000, 30.06217598",16R FU 74065 27049,SHELTER,RISK,2,2007,Main,R, ,232,4640,0,0,0,0,232,4640,232,S-1621X,No,No,No,No,Yes, , , ,Yes,-9483781.641258556,3511544.49215796
Hamilton County HS,5683 US Highway 129 S,Jasper,32052,HAMILTON,"-82.93010954, 30.47547713",17R LP 14722 73057,SHELTER,RISK,3,2003,5 Classroom,A,350 kW for campus,0,0,497,9933,0,0,497,9933,0, ,No,No,No,Yes,Yes, , , , ,-9231737.564993588,3564815.58616634
Hamilton County HS,5683 US Highway 129 S,Jasper,32052,HAMILTON,"-82.93010954, 30.47547713",17R LP 14722 73057,SHELTER,RISK,3,2003,4 Music,A,350 kW for campus,0,0,0,0,0,0,159,3178,0, ,No,No,No,No,Yes, , , , ,-9231737.564993588,3564815.58616634
Hamilton County HS,5683 US Highway 129 S,Jasper,32052,HAMILTON,"-82.93010954, 30.47547713",17R LP 14722 73057,SHELTER,RISK,3,2003,9 Voc Classroom,A,350 kW for campus,0,0,0,0,0,0,273,5469,0, ,No,No,No,No,Yes, , , , ,-9231737.564993588,3564815.58616634
Hamilton County HS,5683 US Highway 129 S,Jasper,32052,HAMILTON,"-82.93010954, 30.47547713",17R LP 14722 73057,SHELTER,RISK,3,2003,6 Gym,A,350 kW for campus,0,0,623,12461,0,0,623,12461,0, ,No,No,No,Yes,Yes, ,Yes, , ,-9231737.564993588,3564815.58616634
Hamilton County HS,5683 US Highway 129 S,Jasper,32052,HAMILTON,"-82.93010954, 30.47547713",17R LP 14722 73057,SHELTER,RISK,3,2003,3 Auditorium,A,350 kW for campus,0,0,0,0,0,0,146,2913,0, ,No,No,No,No,Yes, , , , ,-9231737.564993588,3564815.58616634
Hamilton County HS,5683 US Highway 129 S,Jasper,32052,HAMILTON,"-82.93010954, 30.47547713",17R LP 14722 73057,SHELTER,RISK,3,2003,7 ROTC,A,350 kW for campus,0,0,157,3130,0,0,157,3130,0, ,No,No,No,Yes,Yes, , , , ,-9231737.564993588,3564815.58616634
Bowling Green ES,4530 Church Ave,Bowling Green,33834,HARDEE,"-81.82114998, 27.63576002",17R ML 18991 57123,SHELTER,RISK,6,2009,1 Multipurpose / Classroom,A,100 kW,0,0,690,13804,0,0,690,13804,646,L,No,No,No,Yes,Yes, , , , ,-9108288.75193126,3203128.591430561
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,33873,HARDEE,"-81.82028263, 27.58657739",17R ML 19040 51675,SHELTER,RISK,6,2004,8 Classroom,A, ,0,0,493,9868,0,0,493,9868,452,L,No,No,No,Yes,Yes, , , , ,-9108192.199165354,3196949.93993229
North Wauchula ES,1120 N Florida Ave,Wauchula,33873,HARDEE,"-81.81641001, 27.56074001",17R ML 19403 48810,SHELTER,RISK,6,2001,3 Classroom,A, ,0,0,106,2120,0,0,106,2120,104,L,No,No,No,Yes,Yes, , , , ,-9107761.101181328,3193705.18535583
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,33873,HARDEE,"-81.82028263, 27.58657739",17R ML 19040 51675,SHELTER,RISK,6,2004,6 Classroom,A, ,0,0,521,10427,0,0,521,10427,523,L,No,No,No,Yes,Yes, , , , ,-9108192.199165354,3196949.93993229
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,33873,HARDEE,"-81.82028263, 27.58657739",17R ML 19040 51675,SHELTER,RISK,6,2004,13 Gym,A, ,0,0,860,17197,0,0,860,17197,859,L,No,No,No,Yes,Yes, , , , ,-9108192.199165354,3196949.93993229
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,33873,HARDEE,"-81.82028263, 27.58657739",17R ML 19040 51675,SHELTER,RISK,6,2004,11 Classroom,A, ,0,0,0,0,0,0,213,4262,0, ,No,No,No,No,Yes, , , , ,-9108192.199165354,3196949.93993229
South Florida State College,2968 US 17 N,Bowling Green,33834,HARDEE,"-81.82153002, 27.60405002",17R ML 18930 53611,SHELTER,RISK,6,2003,100B,A,400 kW for campus,0,0,0,0,0,0,58,1158,0, ,No,No,No,No,Yes, , , , ,-9108331.057234969,3199144.6510876357
Bowling Green ES,4530 Church Ave,Bowling Green,33834,HARDEE,"-81.82114998, 27.63576002",17R ML 18991 57123,SHELTER,RISK,6,2002,18 Classroom,A, ,0,0,106,2117,0,0,106,2117,105,L,No,No,No,Yes,Yes, , , ,Yes,-9108288.75193126,3203128.591430561
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,33873,HARDEE,"-81.82028263, 27.58657739",17R ML 19040 51675,SHELTER,RISK,6,2004,9 Classroom,A, ,0,0,56,1120,0,0,56,1120,563,L,No,No,No,Yes,Yes, , , , ,-9108192.199165354,3196949.93993229
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,33873,HARDEE,"-81.82028263, 27.58657739",17R ML 19040 51675,SHELTER,RISK,6,2004,7 Classroom,A, ,0,0,413,8252,0,0,413,8252,411,L,No,No,No,Yes,Yes, , , , ,-9108192.199165354,3196949.93993229
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,33873,HARDEE,"-81.82028263, 27.58657739",17R ML 19040 51675,SHELTER,RISK,6,2004,10 Classroom,A, ,0,0,0,0,0,0,144,2879,0, ,No,No,No,No,Yes, , , , ,-9108192.199165354,3196949.93993229
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,33873,HARDEE,"-81.82028263, 27.58657739",17R ML 19040 51675,SHELTER,RISK,6,2004,5 Cafeteria,A, ,0,0,338,6768,0,0,338,6768,344,L,No,No,No,Yes,Yes, , , , ,-9108192.199165354,3196949.93993229
Zolfo Springs ES,3215 Schoolhouse Rd,Zolfo Springs,33890,HARDEE,"-81.78556997, 27.49563999",17R ML 22402 41579,SHELTER,RISK,6,2001,10 Classroom,A, ,0,0,194,3870,0,0,194,3870,220,L,No,No,No,Yes,Yes, , , , ,-9104328.003704408,3185533.065203954
Clewiston MS,601 W Osceola Ave,Clewiston,33440,HENDRY,"-80.93673986, 26.75579673",17R NK 06289 59389,SHELTER,RISK,8,1996,31 Gym,R, ,0,0,0,0,553,11065,553,11065,553,S-1467-2004,No,No,No,No,Yes, , , , ,-9009836.667885741,3092994.7664651317
Clewiston MS,601 W Osceola Ave,Clewiston,33440,HENDRY,"-80.93673986, 26.75579673",17R NK 06289 59389,SHELTER,RISK,8,1996,33 Classroom,R, ,0,0,0,0,159,3178,159,3178,159,S-1467-2004,No,No,No,No,Yes, , , , ,-9009836.667885741,3092994.7664651317
LaBelle MS,8000 E Cowboy Way,Labelle,33935,HENDRY,"-81.36898997, 26.75182999",17R MK 63310 59001,SHELTER,RISK,8,2000,4 Ag Lab,R, ,0,0,0,0,287,5730,287,5730,334,S-1467-2004,No,No,No,No,Yes, , , , ,-9057954.530125333,3092500.2527219364
Clewiston MS,601 W Osceola Ave,Clewiston,33440,HENDRY,"-80.93673986, 26.75579673",17R NK 06289 59389,SHELTER,RISK,8,1996,32 Classroom,R, ,0,0,0,0,355,7101,355,7101,355,S-1467-2004,No,No,No,No,Yes, , , , ,-9009836.667885741,3092994.7664651317
LaBelle MS,8000 E Cowboy Way,Labelle,33935,HENDRY,"-81.36898997, 26.75182999",17R MK 63310 59001,SHELTER,RISK,8,1996,1 Classroom,R, ,0,0,0,0,163,3253,163,3253,215,S-1467-2004,No,No,No,No,Yes, , , , ,-9057954.530125333,3092500.2527219364
Clewiston HS,1501 S Francisco St,Clewiston,33440,HENDRY,"-80.92247284, 26.74469162",17R NK 07709 58160,SHELTER,RISK,8,1989,1 Classroom,R, ,0,0,0,0,312,6230,312,6230,312,S-1467-2004,No,No,No,No,Yes, , , , ,-9008248.470018383,3091610.3916295487
LaBelle MS,8000 E Cowboy Way,Labelle,33935,HENDRY,"-81.36898997, 26.75182999",17R MK 63310 59001,SHELTER,RISK,8,2000,6 Classroom,R, ,0,0,0,0,354,7077,354,7077,481,S-1467-2004,No,No,No,No,Yes, , , , ,-9057954.530125333,3092500.2527219364
LaBelle MS,8000 E Cowboy Way,Labelle,33935,HENDRY,"-81.36898997, 26.75182999",17R MK 63310 59001,SHELTER,RISK,8,1996,2 Classroom,R, ,0,0,0,0,121,2425,121,2425,172,S-1467-2004,No,No,No,No,Yes, , , , ,-9057954.530125333,3092500.2527219364
Clewiston MS,601 W Osceola Ave,Clewiston,33440,HENDRY,"-80.93673986, 26.75579673",17R NK 06289 59389,SHELTER,RISK,8,1996,34 Classroom,R, ,0,0,0,0,156,3112,156,3112,156,S-1467-2004,No,No,No,No,Yes, , , , ,-9009836.667885741,3092994.7664651317
Clewiston HS,1501 S Francisco St,Clewiston,33440,HENDRY,"-80.92247284, 26.74469162",17R NK 07709 58160,SHELTER,RISK,8,1989,9 Classroom,R, ,0,0,0,0,181,3619,181,3619,181,S-1467-2004,No,No,No,No,Yes, , , , ,-9008248.470018383,3091610.3916295487
Clewiston MS,601 W Osceola Ave,Clewiston,33440,HENDRY,"-80.93673986, 26.75579673",17R NK 06289 59389,SHELTER,RISK,8,1996,30 Music,R, ,0,0,0,0,149,2972,149,2972,149,S-1467-2004,No,No,No,No,Yes, , , , ,-9009836.667885741,3092994.7664651317
LaBelle MS,8000 E Cowboy Way,Labelle,33935,HENDRY,"-81.36898997, 26.75182999",17R MK 63310 59001,SHELTER,RISK,8,1996,3 Cafeteria,R, ,0,0,0,0,476,9529,476,9529,442,S-1467-2004,No,No,No,No,Yes, , , , ,-9057954.530125333,3092500.2527219364
LaBelle MS,8000 E Cowboy Way,LaBelle,33935,HENDRY,"-81.36898997, 26.75182999",17R MK 63310 59001,SHELTER,RISK,8,1999,5 Gym,R, ,0,0,0,0,557,11133,557,11133,500,L,No,No,No,No,Yes, , , , ,-9057954.530125333,3092500.2527219364
Edward A Upthegrove ES,280 N Main St,Labelle,33935,HENDRY,"-81.44030002, 26.76579001",17R MK 56225 60570,SHELTER,RISK,8,2001,23 Classroom,R, ,0,0,0,0,242,4833,242,4833,242,S-1467-2004,No,No,No,No,Yes, , , , ,-9065892.728285708,3094240.6548396437
Frank W Springstead HS,3300 Maniner Blvd,Spring Hill,34609,HERNANDO,"-82.54217697, 28.48200400",17R LM 49039 51567,SHELTER,RISK,7,2007,12 Cafeteria,A, ,0,0,270,5396,0,0,270,5396,445, ,No,No,No,Yes,Yes, , , ,Yes,-9188553.108745169,3309880.5067119976
John D Floyd ES,3139 Dumont Ave,Spring Hill,34609,HERNANDO,"-82.50967002, 28.47847401",17R LM 52216 51135,SHELTER,RISK,7,2007,13 Classroom,A,100 kW,0,0,0,0,0,0,257,5132,0,L,No,No,No,No,Yes, , , , ,-9184934.451782765,3309433.4467249042
Challenger K-8,13400 Elgin Blvd,Spring Hill,34609,HERNANDO,"-82.50182296, 28.49581202",17R LM 53009 53047,SHELTER,RISK,7,2004,"1 (100s, 200s, 400s, 500s) Classroom / Media",A, ,0,0,1155,23097,0,0,1155,23097,2750,L,No,No,No,Yes,Yes, , , ,Yes,-9184060.92173693,3311629.379525266
Central HS,14075 Ken Austin Pkwy,Brooksville,34613,HERNANDO,"-82.49538398, 28.56411899",17R LM 53733 60608,SHELTER,RISK,7,2007,30 Cafeteria / Corridors,A, ,0,0,310,6204,0,0,310,6204,256,L,No,No,No,Yes,Yes, , , ,Yes,-9183344.13796516,3320284.2629608437
Suncoast ES,11135 Quality Dr,Spring Hill,34609,HERNANDO,"-82.53757203, 28.43701900",17R LM 49426 46576,SHELTER,RISK,7,1994,5 Cafeteria,R, ,0,0,0,0,202,4035,202,4035,0, ,No,No,No,No,Yes, , , , ,-9188040.489774037,3304184.4539796654
Nature Coast Tech HS,4057 California St,Brooksville,34604,HERNANDO,"-82.46332304, 28.48835401",17R LM 56767 52174,SHELTER,RISK,7,2001,2 Classroom,A,100 kW,0,0,0,0,0,0,332,6636,246, ,No,No,No,No,Yes, , , , ,-9179775.129603108,3310684.746793299
Nature Coast Tech HS,4057 California St,Brooksville,34604,HERNANDO,"-82.46332304, 28.48835401",17R LM 56767 52174,SHELTER,RISK,7,2001,3 Gym,A,100 kW,0,0,585,11696,0,0,585,11696,607,"L, S",No,No,No,Yes,Yes, , , , ,-9179775.129603108,3310684.746793299
Challenger K-8,13400 Elgin Blvd,Spring Hill,34609,HERNANDO,"-82.50182296, 28.49581202",17R LM 53009 53047,SHELTER,RISK,7,2004,1 (600s) Gym,A, ,0,0,508,10161,0,0,508,10161,421, ,No,No,No,Yes,Yes, , , ,Yes,-9184060.92173693,3311629.379525266
John D Floyd ES,3139 Dumont Ave,Spring Hill,34609,HERNANDO,"-82.50967002, 28.47847401",17R LM 52216 51135,SHELTER,RISK,7,2007,12 Classroom,A,100 kW,0,0,0,0,0,0,256,5126,0,L,No,No,No,No,Yes, , , , ,-9184934.451782765,3309433.4467249042
Fred Wild ES,3550 Youth Care Ln,Sebring,33870,HIGHLANDS,"-81.43058003, 27.47940999",17R ML 57462 39609,SHELTER,RISK,6,2001,13 Cafeteria,A, ,0,0,0,0,0,0,223,4454,249,L,No,No,No,No,Yes, , , , ,-9064810.703950025,3183496.4370273934
Avon ES,705 Winthrop St,Avon Park,33825,HIGHLANDS,"-81.51002999, 27.60199000",17R ML 49669 53217,SHELTER,RISK,6,2002,10 Cafeteria,A, ,0,0,0,0,0,0,225,4500,249,L,No,No,No,No,Yes, , , , ,-9073655.033554472,3198885.8766495273
Lake Placid ES,101 Green Dragon Dr,Lake Placid,33852,HIGHLANDS,"-81.36949004, 27.29417999",17R ML 63436 19073,SHELTER,RISK,6,2006,6 Classroom,A, ,0,0,0,0,0,0,282,5633,200,L,No,No,No,No,Yes, , , , ,-9058010.197015183,3160273.973082254
Sebring Civic Center,355 W Center Ave,Sebring,33870,HIGHLANDS,"-81.44391825, 27.49488170",17R ML 56150 41328,SHELTER,RISK,6,2010, ,A, ,0,0,1185,23698,0,0,1185,23698,0,S-1621X,No,No,No,No,Yes, , , , ,-9066295.508014673,3185437.903774469
Avon Park HS,700 E Main St,Avon Park,33825,HIGHLANDS,"-81.48868003, 27.59375000",17R ML 51772 52296,SHELTER,RISK,6,1998,6 Cafeteria,R, ,0,0,0,0,250,5007,250,5007,300,1508-2005,No,No,No,No,Yes, , , , ,-9071278.366316801,3197850.8386001834
Lake Placid Senior HS,202 Green Dragon Dr,Lake Placid,33852,HIGHLANDS,"-81.37268002, 27.29368998",17R ML 63120 19019,SHELTER,RISK,6,2009,2 Multipurpose,A, ,0,0,359,7171,0,0,359,7171,0, ,No,No,No,Yes,Yes, , , , ,-9058365.304497082,3160212.59203179
Cracker Trail ES,8200 Sparta Rd,Sebring,33870,HIGHLANDS,"-81.44402997, 27.42398000",17R ML 56111 33474,SHELTER,RISK,6,2002,4 Classroom,R, ,0,0,0,0,140,2807,140,2807,200,1508-2005,No,No,No,No,Yes, , , , ,-9066307.944073299,3176543.0455776346
Woodlawn ES,817 Woodlawn Dr,Sebring,33870,HIGHLANDS,"-81.44395000, 27.50725002",17R ML 56152 42698,SHELTER,RISK,6,2001,2 Cafeteria,A, ,0,0,0,0,0,0,220,4393,249,L,No,No,No,No,Yes, , , , ,-9066299.042676019,3186990.13761427
Sebring HS,3514 Kenilworth Blvd,Sebring,33870,HIGHLANDS,"-81.43135997, 27.48608999",17R ML 57387 40350,SHELTER,RISK,6,1999,8 Multipurpose,A, ,0,0,0,0,0,0,220,4405,220,L,No,No,No,No,Yes, , , , ,-9064897.526043087,3184334.642861566
Hill-Gustat MS,4700 Schumacher Rd,Sebring,33872,HIGHLANDS,"-81.51456997, 27.51615001",17R ML 49181 43711,SHELTER,RISK,6,2008,9 Classroom,A, ,0,0,509,10189,0,0,509,10189,750,L,No,No,No,Yes,Yes, , , , ,-9074160.421168137,3188107.2012805333
Sebring HS,3514 Kenilworth Blvd,Sebring,33870,HIGHLANDS,"-81.43135997, 27.48608999",17R ML 57387 40350,SHELTER,RISK,6,2008,13 Classroom,A, ,0,0,732,14637,0,0,732,14637,750,L,No,No,No,Yes,Yes, , , , ,-9064897.526043087,3184334.642861566
Memorial ES,868 S Memorial Dr,Avon Park,33825,HIGHLANDS,"-81.49401263, 27.55044914",17R ML 51227 47502,SHELTER,RISK,6,2007,2 Cafeteria,A, ,0,0,0,0,0,0,1082,21634,235,L,No,No,No,No,Yes, , , , ,-9071871.98903247,3192413.031036642
South Florida State College,600 W College Dr,Avon Park,33825,HIGHLANDS,"-81.50947997, 27.56872998",17R ML 49708 49533,SHELTER,RISK,6,0,A,A, ,0,0,0,0,0,0,459,9173,217,S-1395B,No,No,No,No,Yes, , , , ,-9073593.805494508,3194708.5134909167
Avon Park HS,700 E Main St,Avon Park,33825,HIGHLANDS,"-81.48868003, 27.59375000",17R ML 51772 52296,SHELTER,RISK,6,2008,10 Classroom,A, ,0,0,538,10768,0,0,538,10768,0, ,No,No,No,Yes,Yes, , , , ,-9071278.366316801,3197850.8386001834
Park ES,327 E Palmetto St,Avon Park,33825,HIGHLANDS,"-81.49515002, 27.60747000",17R ML 51139 53818,SHELTER,RISK,6,1990,1 Cafeteria,R, ,0,0,0,0,0,0,164,3280,0, ,No,No,No,No,Yes, , , , ,-9071998.602458486,3199574.2711889045
Avon ES,705 Winthrop St,Avon Park,33825,HIGHLANDS,"-81.51002999, 27.60199000",17R ML 49669 53217,SHELTER,RISK,6,2002,9 Classroom,A, ,0,0,0,0,0,0,126,2518,0, ,No,No,No,No,Yes, , , , ,-9073655.033554472,3198885.8766495273
