Name,Address,City,Zip,COUNTY,Notes,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,TTL_BEDS,x,y
ARLINGTON HAVEN,6320 ARLINGTON ROAD,JACKSONVILLE, ,DUVAL,8958,"-81.59408100,30.33352300",17R MP 42894 55892,,,ASSISTED LIVING FACILITY,26,-9083011.54864277,3546493.561025151
ALMOST HOME BEACHES,100 WEST FIRST STREET,ATLANTIC BEACH, ,DUVAL,9590,"-81.42079100,30.32541300",17R MP 59548 54919,,,ASSISTED LIVING FACILITY,14,-9063720.994124582,3545447.6064476427
"SOME PLACE LIKE HOME, INC. IV",1359 PALM CIRCLE W,JACKSONVILLE,32250,DUVAL,,"-81.40496327,30.29473018",17R MP 61058 51514,,,ASSISTED LIVING FACILITY,,-9061959.059018746,3541491.19600667
SUNRISE OF JACKSONVILLE,4870 BELFORT ROAD,JACKSONVILLE, ,DUVAL,11689,"-81.58466200,30.24877300",17R MP 43751 46496,,,ASSISTED LIVING FACILITY,94,-9081963.03037973,3535567.541429576
EJ'S PLACE INC #2,5210 WITBY AVENUE,JACKSONVILLE, ,DUVAL,11773,"-81.75091300,30.24999000",17R MP 27757 46725,,,ASSISTED LIVING FACILITY,5,-9100470.007046005,3535724.371069287
ATRIUM AT REGENCY (THE),9960 ATRIUM WAY,JACKSONVILLE, ,DUVAL,7109,"-81.54215100,30.33103300",17R MP 47884 55591,,,ASSISTED LIVING FACILITY,115,-9077230.72755404,3546172.414112315
WYNDHAM LAKES,10660 OLD ST. AUGUSTINE ROAD,JACKSONVILLE, ,DUVAL,5572,"-81.60730000,30.18275800",17R MP 41534 39192,,,ASSISTED LIVING FACILITY,288,-9084483.080967635,3527063.377925968
FLEET LANDING,ONE FLEET LANDING BOULEVARD,ATLANTIC BEACH, ,DUVAL,7607,"-81.40272900,30.33162000",17R MP 61287 55601,,,ASSISTED LIVING FACILITY,76,-9061710.34145161,3546248.121527477
"BISHOP CHRISTIAN HOME, INC",1627 EAST 8TH STREET,JACKSONVILLE, ,DUVAL,9129,"-81.63292600,30.34535000",17R MP 39167 57223,,,ASSISTED LIVING FACILITY,44,-9087335.754302464,3548019.0562045984
RUTH'S FAMILY HOME AWAY FROM HOME,133 W. 6TH STREET,JACKSONVILLE,32206,DUVAL,,"-81.65667177,30.34334068",17R MP 36884 57014,,,ASSISTED LIVING FACILITY,,-9089979.12101797,3547759.8728105854
WATTS GUARDIAN CARE INC.,7217 EUDINE DRIVE NORTH,JACKSONVILLE, ,DUVAL,10622,"-81.76697200,30.27694800",17R MP 26232 49723,,,ASSISTED LIVING FACILITY,6,-9102257.68673858,3539198.8316216804
STERLING HOUSE OF JACKSONVILLE,10875 OLD ST. AUGUSTINE ROAD,JACKSONVILLE, ,DUVAL,8868,"-81.60533300,30.17831300",17R MP 41721 38698,,,ASSISTED LIVING FACILITY,60,-9084264.115580777,3526490.9705050658
GOLDEN RETREAT SHELTER CARE CENTER,4410 MONCRIEF RD. W.,JACKSONVILLE, ,DUVAL,5846,"-81.71761200,30.38837400",17R MP 31058 62040,,,ASSISTED LIVING FACILITY,93,-9096762.956767943,3553570.0246153153
SOME PLACE LIKE HOME INC #4,1499 BASSETT ROAD,JACKSONVILLE, ,DUVAL,12072,"-81.67923200,30.41050800",17R MP 34760 64470,,,ASSISTED LIVING FACILITY,6,-9092490.51468035,3556426.711591158
DIVERSITY ME,3225 N MYRTLE AVE,JACKSONVILLE, ,DUVAL,11951,"-81.67593000,30.35802100",17R MP 35042 58651,,,ASSISTED LIVING FACILITY,16,-9092122.937673915,3549653.6184418686
PLYMOUTH HOME FOR ADULTS INC,3225 PLYMOUTH STREET,JACKSONVILLE, ,DUVAL,5228,"-81.70932700,30.31070500",17R MP 31800 53427,,,ASSISTED LIVING FACILITY,57,-9095840.6746761,3543550.9221127843
AVERY'S HOME CARE,134 WEST 23RD STREET,JACKSONVILLE, ,DUVAL,5390,"-81.65638200,30.35841300",17R MP 36921 58684,,,ASSISTED LIVING FACILITY,14,-9089946.86423858,3549704.1898986166
OAK HILL MEDICAL,"185 A US #1, NORTH",OAK HILL, ,DUVAL,108925,"-81.75117800,30.24575100",17R MP 27728 46255,,,RURAL HEALTH CLINIC,0,-9100499.506657442,3535178.117643099
DANIEL MEMORIAL,2951 PARENTAL HOME ROAD,JACKSONVILLE, ,DUVAL,21,"-81.59120100,30.27217600",17R MP 43135 49093,,,RESIDENTIAL TREATMENT FACILITY,12,-9082690.94855609,3538583.7266642083
DANIEL MEMORIAL,3725 BELFORT ROAD,JACKSONVILLE, ,DUVAL,20,"-81.57843000,30.26030000",17R MP 44357 47770,,,RESIDENTIAL TREATMENT FACILITY,39,-9081269.287337571,3537053.0546617247
DANIEL MEMORIAL,1526 PARENTAL HOME ROAD,JACKSONVILLE, ,DUVAL,22,"-81.57767100,30.28970200",17R MP 44447 51028,,,RESIDENTIAL TREATMENT FACILITY,8,-9081184.79577923,3540842.9534185324
COMMUNITY HOSPITAL OF NORTHEAST FLORIDA INC,4715 WORALL WAY ,JACKSONVILLE,32224,DUVAL,5024096,"-81.44764763,30.25678801",17R MP 56936 47324,,,HOSPICE,16,-9066710.660234366,3536600.4376928015
COMMUNITY HOSPICE OF NORTHEAST FLORIDA INC,4266 SUNBEAM RD ,JACKSONVILLE,32257,DUVAL,5024096,"-81.60539607,30.20508068",17R MP 41730 41665,,,HOSPICE,38,-9084271.136260742,3529938.3850093493
COMMUNITY HOSPICE OF NORTHEAST FLORIDA INC,5450 RAMONA BLVD ,JACKSONVILLE,32205,DUVAL,5024096,"-81.74015752,30.31394737",17R MP 28838 53806,,,HOSPICE,16,-9099272.712784229,3543969.0202237284
JACKSONVILLE ARLINGTON DIALYSIS,929 UNIVERSITY BLVD N,JACKSONVILLE, ,DUVAL,682526,"-81.60378700,30.32899700",17R MP 41958 55396,,,END-STAGE RENAL DISEASE,0,-9084092.015615642,3545909.827665603
FRESENIUS MEDICAL CARE MANDARIN,9143 PHILIPS HWY STE 110 & 115,JACKSONVILLE, ,DUVAL,102871,"-81.65621700,30.33147400",17R MP 36920 55698,,,END-STAGE RENAL DISEASE,0,-9089928.496600715,3546229.291343158
BMA OF ST JOHNS,3132 ST JOHNS BLUFF RD S,JACKSONVILLE, ,DUVAL,102684,"-81.52586400,30.28930100",17R MP 49429 50960,,,END-STAGE RENAL DISEASE,0,-9075417.666965943,3540791.257179007
DIALYSIS CLINIC INC,757 UNION ST WEST,JACKSONVILLE, ,DUVAL,102531,"-81.66584500,30.33434800",17R MP 35996 56022,,,END-STAGE RENAL DISEASE,0,-9091000.280567614,3546599.967005891
JACKSONVILLE KIDNEY CENTER,1107 MYRA ST STE 101,JACKSONVILLE, ,DUVAL,102662,"-81.68218300,30.31734700",17R MP 34414 54147,,,END-STAGE RENAL DISEASE,0,-9092819.018410632,3544407.4123716457
MEMORIAL PLAZA DIALYSIS,3901 UNIVERSITY BLVD S STE 111,JACKSONVILLE, ,DUVAL,682516,"-81.60255000,30.28564700",17R MP 42052 50591,,,END-STAGE RENAL DISEASE,0,-9083954.313485969,3540320.1989778136
FRESENIUS MEDICAL CARE OCEANWAY,12961 N MAIN ST,JACKSONVILLE, ,DUVAL,102879,"-81.63082200,30.47277000",17R MP 39448 71343,,,END-STAGE RENAL DISEASE,0,-9087101.53807625,3564465.9267391283
DIALYSIS CLINIC INC,4221 SOUTHPOINT BLVD,JACKSONVILLE, ,DUVAL,102649,"-81.58841200,30.25384200",17R MP 43393 47060,,,END-STAGE RENAL DISEASE,0,-9082380.478490492,3536220.774589613
SHANDS JACKSONVILLE RENAL DIALYSIS,655 W 8TH ST,JACKSONVILLE, ,DUVAL,102300,"-81.66430500,30.34681900",17R MP 36152 57403,,,END-STAGE RENAL DISEASE,0,-9090828.848552892,3548208.5466703638
ARA NORTH JACKSONVILLE,1725 OAKHURST AVE STE 100,JACKSONVILLE, ,DUVAL,102877,"-81.68457600,30.38627500",17R MP 34230 61787,,,END-STAGE RENAL DISEASE,0,-9093085.406045644,3553299.1543183867
KIDNEY DIALYSIS CENTER INC,1715 KINGS AVENUE,JACKSONVILLE,32207,DUVAL,,"-81.65182357,30.31102401",17R MP 37329 53430,,,END-STAGE RENAL DISEASE,0,-9089439.422264345,3543592.0573402387
REGENCY DIALYSIS CENTER,9535 REGENCY SQUARE BLVD,JACKSONVILLE, ,DUVAL,102850,"-81.55039200,30.32627800",17R MP 47090 55068,,,END-STAGE RENAL DISEASE,0,-9078148.111406919,3545559.162199464
NORMANDY VILLAGE DIALYSIS CENTER,7764 NORMANDY BLVD,JACKSONVILLE, ,DUVAL,102870,"-81.77602400,30.29499900",17R MP 25375 51729,,,END-STAGE RENAL DISEASE,0,-9103265.35072989,3541525.8541005645
ARA WEST JACKSONVILLE LLC,425 N LEE ST STE 103,JACKSONVILLE, ,DUVAL,102794,"-81.66904100,30.33208300",17R MP 35687 55773,,,END-STAGE RENAL DISEASE,0,-9091356.057648825,3546307.836555787
FIRST COAST DIALYSIS CENTER,5730 BOWDEN RD STE 110,JACKSONVILLE, ,DUVAL,102820,"-81.60640300,30.26463300",17R MP 41669 48265,,,END-STAGE RENAL DISEASE,0,-9084383.227446694,3537611.5042213425
JACKSONVILLE SOUTH DIALYSIS CENTER,14965 OLD ST AUGUSTINE RD UNIT 114,JACKSONVILLE, ,DUVAL,102873,"-81.52045900,30.14178300",17R MP 49874 34610,,,END-STAGE RENAL DISEASE,0,-9074815.985112157,3521787.776007712
JACKSONVILLE BEACH DIALYSIS,1711 5TH ST S,JACKSONVILLE, ,DUVAL,102836,"-81.39082400,30.27237100",17R MP 62409 49031,,,END-STAGE RENAL DISEASE,0,-9060385.08297574,3538608.861338395
MAYO CLINIC OUTPATIENT DIALYSIS CENTER,4203 BELFORT RD STE 103,JACKSONVILLE, ,DUVAL,103502,"-81.58398400,30.25379100",17R MP 43819 47052,,,END-STAGE RENAL DISEASE,0,-9081887.555805499,3536214.202221303
BMA JACKSONVILLE,1944 ATLANTIC BLVD,JACKSONVILLE, ,DUVAL,102612,"-81.64717900,30.30779600",17R MP 37773 53069,,,END-STAGE RENAL DISEASE,0,-9088922.390955795,3543175.822915138
MENTAL HEALTH CENTER OF JACKSONVILLE,3333 WEST 20TH STREET,JACKSONVILLE,32254,DUVAL,1488,"-81.72731114,30.35648359",17R MP 30103 58511,,,CRISIS STABILIZATION UNIT,30,-9097842.659509495,3549455.281141704
MENTAL HEALTH RESOURCE CENTER,11820 BEACH BOULEVARD,JACKSONVILLE, ,DUVAL,379,"-81.50864658,30.28631056",17R MP 51083 50621,,,CRISIS STABILIZATION UNIT,16,-9073501.03281323,3540405.740724861
BIRTH CENTER OF JACKSONVILLE LLC,804 MARGARET ST,JACKSONVILLE, ,DUVAL,345,"-81.68265200,30.31801100",17R MP 34369 54221,,,BIRTH CENTER,0,-9092871.227246245,3544493.0388462692
DIALYSIS CLINIC INC,5258 10 NORWOOD AVE,JACKSONVILLE, ,DUVAL,102864,"-81.66500845,30.37190478",17R MP 36101 60184,,,END-STAGE RENAL DISEASE,0,-9090907.156036032,3551444.8727334887
FMC DIALYSIS SERVICES N JACKSONVILLE,10614 LEM TURNER RD,JACKSONVILLE, ,DUVAL,102610,"-81.69429300,30.42856600",17R MP 33325 66480,,,END-STAGE RENAL DISEASE,0,-9094167.097420275,3558757.8163463115
PLAZA SURGERY CENTER II,6138 KENNERLY RD,JACKSONVILLE,32216,DUVAL,1265,"-81.60048700,30.28358500",17R MP 42249 50362,,,AMBULATORY SURGICAL CENTER,0,-9083724.661308711,3540054.3824989432
JACKSONVILLE CENTER FOR ENDOSCOPY-SOUTHS,4800 BELFORT RD,JACKSONVILLE,32256,DUVAL,1161,"-81.58470000,30.24890500",17R MP 43747 46511,,,AMBULATORY SURGICAL CENTER,0,-9081967.260526104,3535584.5516252224
SOUTHPOINT SURGERY CENTER LLC,7051 SOUTHPOINT PARKWAY,JACKSONVILLE,32216,DUVAL,1266,"-81.58488700,30.25421700",17R MP 43732 47099,,,AMBULATORY SURGICAL CENTER,0,-9081988.077248108,3536269.101551767
SAMUEL WELLS SURGICENTER,3599 UNIVERSITY BLVD S,JACKSONVILLE,32216,DUVAL,795,"-81.60220300,30.28908600",17R MP 42087 50972,,,AMBULATORY SURGICAL CENTER,0,-9083915.685543632,3540763.539791125
MEDICAL PARTNERS SURGERY CENTER,4545 EMERSON EXPRESSWAY,JACKSONVILLE,32207,DUVAL,,"-81.61779775,30.29138211",17R MP 40589 51235,,,AMBULATORY SURGICAL CENTER,,-9085651.68533789,3541059.5531145907
MAYO CLINIC JACKSONVILLE ASC FOR GI,4500 SAN PABLO RD,JACKSONVILLE,32224,DUVAL,872,"-81.43762300,30.26421100",17R MP 57904 48143,,,AMBULATORY SURGICAL CENTER,0,-9065594.723757675,3537557.1144684628
PARKSIDE SURGERY CENTER,2731 PARK ST,JACKSONVILLE,32205,DUVAL,895,"-81.69451500,30.31015700",17R MP 33224 53358,,,AMBULATORY SURGICAL CENTER,0,-9094191.810369756,3543480.2597400416
BEACHES WOMEN'S HEALTH SPECIALISTS,390 16TH AVE S STE 4,JACKSONVILLE,32250,DUVAL,,"-81.39002590,30.27212437",17R MP 62485 49003,,,BIRTH CENTER,0,-9060296.239124719,3538577.0716768354
"FRUITFUL VINE MIDWIFERY SERVICE, INC.",1539-5 PARENTAL HOME RD,JACKSONVILLE, ,DUVAL,324,"-81.57746900,30.28996600",17R MP 44466 51057,,,BIRTH CENTER,0,-9081162.309283728,3540876.9880353794
RIVERSIDE SURGICAL CENTER,7207 GOLDEN WINGS RD,JACKSONVILLE,32244,DUVAL,1320,"-81.70239800,30.22573700",17R MP 32408 44007,,,AMBULATORY SURGICAL CENTER,0,-9095069.34194669,3532599.35678598
EYE SURGERY CENTER OF NORTH FLORIDA,7205 BONNEVAL RD,JACKSONVILLE,32256,DUVAL,1282,"-81.59533300,30.24226900",17R MP 42720 45781,,,AMBULATORY SURGICAL CENTER,0,-9083150.92068002,3534729.431717387
RIVERSIDE PARK SURGICENTER,2001 COLLEGE ST,JACKSONVILLE,32204,DUVAL,936,"-81.68216200,30.31653500",17R MP 34416 54057,,,AMBULATORY SURGICAL CENTER,0,-9092816.680681387,3544302.701255466
JACKSONVILLE SURGERY CENTER,7021 A C SKINNER PARKWAY,JACKSONVILLE,32256,DUVAL,,"-81.57804290,30.24970780",17R MP 44388 46596,,,AMBULATORY SURGICAL CENTER,0,-9081226.195231158,3535688.0053480193
JACKSONVILLE BEACH SURGERY CENTER,3316 S THIRD ST,JACKSONVILLE BEACH,32250,DUVAL,1120,"-81.38789500,30.26329600",17R MP 62687 48024,,,AMBULATORY SURGICAL CENTER,0,-9060059.028167207,3537439.1851419834
CENTER ONE SURGERY CENTER,10475 CENTURION PKWY N,JACKSONVILLE,32256,DUVAL,,"-81.54295497,30.24877744",17R MP 47763 46477,,,AMBULATORY SURGICAL CENTER,0,-9077320.224838218,3535568.113074268
JACKSONVILLE SURGERY CENTER,7021 A C SKINNER PARKWAY,JACKSONVILLE,32256,DUVAL,1028,"-81.58140000,30.24828500",17R MP 44064 46440,,,AMBULATORY SURGICAL CENTER,0,-9081599.90617344,3535504.6555351103
COASTAL SURGERY CENTER LLC,4147 SOUTHPOINT DR E,JACKSONVILLE,32216,DUVAL,1237,"-81.58443700,30.25657700",17R MP 43777 47361,,,AMBULATORY SURGICAL CENTER,0,-9081937.983423859,3536573.243341023
CENTERONE SURGERY CENTER,10475 CENTURION PARKWAY N,JACKSONVILLE,32256,DUVAL,1278,"-81.54374900,30.23845200",17R MP 47682 45333,,,AMBULATORY SURGICAL CENTER,0,-9077408.616096407,3534237.596357941
ALI ANGEL'S NEST,864 WYOLEN STREET,JACKSONVILLE, ,DUVAL,11369,"-81.73313300,30.33417900",17R MP 29528 56043,,,ASSISTED LIVING FACILITY,6,-9098490.746554263,3546578.1698806025
"SOME PLACE LIKE HOME, INC.#2",2307 SMULLIAN TRAIL N.,JACKSONVILLE, ,DUVAL,9738,"-81.62534900,30.23902300",17R MP 39831 45436,,,ASSISTED LIVING FACILITY,6,-9086492.286511714,3534311.1706913086
PETERSON ASSISTED LIVING FACILITY INC.,1622 SILVER STREET,JACKSONVILLE, ,DUVAL,8638,"-81.65733300,30.34393400",17R MP 36820 57080,,,ASSISTED LIVING FACILITY,29,-9090052.729135675,3547836.4049242293
"L'ARCHE HARBOR HOUSE, INC. I",700 ARLINGTON ROAD,JACKSONVILLE, ,DUVAL,5523,"-81.58441200,30.32478500",17R MP 43818 54919,,,ASSISTED LIVING FACILITY,5,-9081935.200522684,3545366.6162093524
"L'ARCHE HARBOR HOUSE, INC. IV",6610 POTTSBURG DRIVE,JACKSONVILLE, ,DUVAL,8218,"-81.58956300,30.32380800",17R MP 43323 54814,,,ASSISTED LIVING FACILITY,3,-9082508.60726381,3545240.61817652
PRELLIE'S HOME INC,7156 PRELLIE STREET,JACKSONVILLE,32210,DUVAL,,"-81.76290511,30.26530374",17R MP 26615 48430,,,ASSISTED LIVING FACILITY,,-9101804.96241818,3537697.9532169434
JUST LIKE HOME,5844 WINDERMERE DR,JACKSONVILLE, ,DUVAL,11856,"-81.59914100,30.33782400",17R MP 42410 56372,,,ASSISTED LIVING FACILITY,6,-9083574.82525894,3547048.300467215
GRAND MARY'S HOUSE,4828 EVANSTON ROAD,JACKSONVILLE, ,DUVAL,11601,"-81.72074800,30.40040200",17R MP 30765 63374,,,ASSISTED LIVING FACILITY,6,-9097112.05460003,3555122.3175843204
MANDARIN MANOR,1815 ORANGE PICKER RD,JACKSONVILLE, ,DUVAL,10051,"-81.65809200,30.14294100",17R MP 36619 34807,,,ASSISTED LIVING FACILITY,6,-9090137.22063281,3521936.840439953
PARADISE RETREAT ASSISTED LIVING FACILIT,5626 SOUTEL DR,JACKSONVILLE, ,DUVAL,12180,"-81.73425000,30.38583100",17R MP 29457 61768,,,ASSISTED LIVING FACILITY,6,-9098615.090347797,3553241.858105115
CLARE BRIDGE OF JACKSONVILLE,10050 OLD ST. AUGUSTINE ROAD,JACKSONVILLE, ,DUVAL,9133,"-81.61130600,30.19437200",17R MP 41155 40481,,,ASSISTED LIVING FACILITY,38,-9084929.02690501,3528559.0995067307
CLASSY LIVING,5714 PLUM HOLLOW DRIVE W,JACKSONVILLE, ,DUVAL,11355,"-81.84081400,30.23978900",17R MP 19099 45655,,,ASSISTED LIVING FACILITY,6,-9110477.740584422,3534409.8718552864
TAYLOR MANOR,6605 CHESTER AVENUE,JACKSONVILLE, ,DUVAL,7201,"-81.62177000,30.25695600",17R MP 40186 47422,,,ASSISTED LIVING FACILITY,105,-9086093.87401152,3536622.0870156037
KINGS HOUSE,1264 NEVA STREET,JACKSONVILLE, ,DUVAL,11620,"-81.74173300,30.30039000",17R MP 28677 52304,,,ASSISTED LIVING FACILITY,6,-9099448.094181811,3542220.9111560783
CLASSIC LIVING INC,214 SANDRA ROAD,JACKSONVILLE,32211,DUVAL,,"-81.60603812,30.32181048",17R MP 41738 54601,,,ASSISTED LIVING FACILITY,,-9084342.609620064,3544983.0140147037
EMERITUS AT SOUTHPOINT,6895 BELFORT OAKS PLACE,JACKSONVILLE, ,DUVAL,9380,"-81.58189000,30.25698600",17R MP 44022 47405,,,ASSISTED LIVING FACILITY,102,-9081654.45274828,3536625.953356053
HOME SWEET HOME AT HOGAN LANE,1307 HOGAN LANE,JACKSONVILLE, ,DUVAL,10443,"-81.78130000,30.29989300",17R MP 24871 52275,,,ASSISTED LIVING FACILITY,6,-9103852.672466716,3542156.8318707715
EMERITUS AT MANDARIN,10790 OLD ST AUGUSTINE RD,JACKSONVILLE, ,DUVAL,8789,"-81.60632000,30.18046800",17R MP 41627 38938,,,ASSISTED LIVING FACILITY,170,-9084373.987843113,3526768.478655903
ATRIA SAN PABLO,14199 WM DAVIS PARKWAY,JACKSONVILLE, ,DUVAL,9546,"-81.44312300,30.26589800",17R MP 57375 48332,,,ASSISTED LIVING FACILITY,67,-9066206.980998505,3537774.5457273847
ROSEMARIES MY HOME AWAY FROM HOME CORP,262 MULBERRY STREET,JACKSONVILLE, ,DUVAL,12026,"-81.65522900,30.38603800",17R MP 37050 61744,,,ASSISTED LIVING FACILITY,5,-9089818.51280458,3553268.570500169
MI CASA ADULT LIVING FACILITY,6856 ST AUGUSTINE RD,JACKSONVILLE, ,DUVAL,11548,"-81.62609400,30.25217900",17R MP 39767 46895,,,ASSISTED LIVING FACILITY,17,-9086575.219521185,3536006.4629144906
AUTUMN VILLAGE INC.,1103 BARRS STREET,JACKSONVILLE, ,DUVAL,5221,"-81.69040100,30.31244900",17R MP 33621 53609,,,ASSISTED LIVING FACILITY,40,-9093733.842018759,3543775.806502448
MYRTICE ANGELS SENIOR HOME CARE LLC,2570 VERNON STREET,JACKSONVILLE, ,DUVAL,12117,"-81.70568100,30.35479400",17R MP 32181 58311,,,ASSISTED LIVING FACILITY,6,-9095434.803807583,3549237.3146174345
"L'ARCHE HARBOR HOUSE, INC. III",700 ARLINGTON ROAD,JACKSONVILLE, ,DUVAL,7393,"-81.58441200,30.32478500",17R MP 43818 54919,,,ASSISTED LIVING FACILITY,7,-9081935.200522684,3545366.6162093524
CHRISTIAN FAMILY CARE HM,1350 EDDY ROAD,JACKSONVILLE, ,DUVAL,7884,"-81.56890300,30.33536000",17R MP 45315 56084,,,ASSISTED LIVING FACILITY,10,-9080208.746531311,3546730.4928129553
JACKSONVILLE CENTER FOR ENDOSCOPY,1610 BARRS ST,JACKSONVILLE,32204,DUVAL,1092,"-81.68995700,30.31069400",17R MP 33662 53415,,,AMBULATORY SURGICAL CENTER,0,-9093684.416236585,3543549.5037471736
BLOOD ALLIANCE INC, ,JACKSONVILLE, ,DUVAL,800000176,"-81.54379226,30.24061479",17R MP 47679 45572,,,BLOOD BANK,0,-9077413.431979021,3534516.277708651
VALIZ'S PLACE,3410 NORTH MYRTLE AVENUE,JACKSONVILLE, ,DUVAL,9260,"-81.67603400,30.35912000",17R MP 35033 58773,,,ASSISTED LIVING FACILITY,6,-9092134.5149593,3549795.399754144
RIVER REGION HUMAN SERVICES,920 BRIDIER STREET,JACKSONVILLE, ,DUVAL,7770,"-81.63795700,30.33404500",17R MP 38677 55973,,,ASSISTED LIVING FACILITY,14,-9087895.80263077,3546560.8868170157
INGLESIDE RETIREMENT,1433 INGLESIDE AVENUE,JACKSONVILLE,32205,DUVAL,,"-81.70978659,30.30186938",17R MP 31750 52449,,,ASSISTED LIVING FACILITY,,-9095891.836473936,3542411.653598008
PLEASANT LIVING FACILITY,1543 HILL STREET,JACKSONVILLE, ,DUVAL,9304,"-81.63534900,30.32772800",17R MP 38923 55272,,,ASSISTED LIVING FACILITY,6,-9087605.481407028,3545746.1653339034
MESA HAVEN INC,1520 MESA DR,JACKSONVILLE, ,DUVAL,10448,"-81.79595300,30.29435000",17R MP 23458 51670,,,ASSISTED LIVING FACILITY,6,-9105483.836848611,3541442.1815932286
"SAN JUAN RETIREMENT HOME, INC.",6561 SAN JUAN AVE.,JACKSONVILLE, ,DUVAL,9587,"-81.75173200,30.28203900",17R MP 27702 50277,,,ASSISTED LIVING FACILITY,30,-9100561.177742368,3539855.0882199653
ELMCROFT OF TIMBERLIN PARC,7620 TIMBERLIN PARK BLVD,JACKSONVILLE, ,DUVAL,9191,"-81.55015900,30.19808800",17R MP 47043 40863,,,ASSISTED LIVING FACILITY,62,-9078122.174007995,3529037.705833736
HAGAN ALF,3104 W 12 TH ST,JACKSONVILLE,32254,DUVAL,,"-81.72093100,30.35084784",17R MP 30712 57883,,,ASSISTED LIVING FACILITY,0,-9097132.425805071,3548728.2523729
"INDEPENDENT MANOR, INC.",3607 HERSCHEL STREET,JACKSONVILLE, ,DUVAL,8112,"-81.70656100,30.29825200",17R MP 32057 52046,,,ASSISTED LIVING FACILITY,6,-9095532.76498166,3541945.256042676
NEW HORIZON HEALTHCARE INC,3114 PHILIPS HWY,JACKSONVILLE, ,DUVAL,12082,"-81.64036900,30.29646700",17R MP 38421 51810,,,ASSISTED LIVING FACILITY,14,-9088164.305183627,3541715.1182396607
COMPASSIONATE CAREGIVERS,2217 PERRY PLACE,JACKSONVILLE, ,DUVAL,11371,"-81.64781600,30.30476700",17R MP 37710 52734,,,ASSISTED LIVING FACILITY,6,-9088993.301555142,3542785.262296624
CARPENTER'S CREEK A PACIFICA SENIOR LIVI,5918 NORTH DAVIS HIGHWAY,PENSACOLA, ,ESCAMBIA,7222,"-87.22274000,30.48356800",16R DU 78622 72391,,,ASSISTED LIVING FACILITY,105,-9709591.00243505,3565860.6778247394
INASMUCH ASSISTED LIVING FACILITY,1007 WEST WRIGHT STREET,PENSACOLA, ,ESCAMBIA,11750,"-87.22976200,30.41516300",16R DU 77932 64812,,,ASSISTED LIVING FACILITY,6,-9710372.687864298,3557027.5836337917
HOMESTEAD VILLAGE RETIREMENT COMMUNITY,7830 PINE FOREST ROAD,PENSACOLA, ,ESCAMBIA,7708,"-87.31004449,30.51413321",16R DU 70252 75798,,,ASSISTED LIVING FACILITY,180,-9719309.693562107,3569809.550134196
HOME OF HOPE,104 DOGWOOD DRIVE,PENSACOLA, ,ESCAMBIA,10769,"-87.26768100,30.42992200",16R DU 74294 66456,,,ASSISTED LIVING FACILITY,10,-9714593.811577644,3558932.8795548584
32514,10100 HILLVIEW DR,PENSACOLA,32514,ESCAMBIA,1029096,"-87.20725721,30.53949798",16R DU 80119 78586,,,ASSISTED LIVING FACILITY,82,-9707867.466242779,3573087.4943656116
BAPTIST MEDICAL PARK SURGERY CENTER,9400 UNIVERSITY PKWY,PENSACOLA,32514,ESCAMBIA,,"-87.21885336,30.53400307",16R DU 79006 77980,,,AMBULATORY SURGICAL CENTER,,-9709158.343555046,3572377.3022971866
CORDOVA AMBULATORY SURGICAL CENTER,545 BRENT LN,PENSACOLA,32503,ESCAMBIA,768,"-87.22228600,30.47448300",16R DU 78663 71384,,,AMBULATORY SURGICAL CENTER,0,-9709540.463375272,3564687.180392416
NORTHWEST FLORIDA SURGICAL CENTER,4600 N DAVIS HWY,PENSACOLA,32503,ESCAMBIA,842,"-87.22409900,30.46456800",16R DU 78487 70286,,,AMBULATORY SURGICAL CENTER,0,-9709742.285595473,3563406.597945489
BROOKDALE PENSACOLA,8700 UNIVERSITY PARKWAY,PENSACOLA,32514,ESCAMBIA,9354,"-87.22077200,30.52243000",16R DU 78819 76697,,,ASSISTED LIVING FACILITY,60,-9709371.925666116,3570881.6681303596
BROADVIEW ASSISTED LIVING FACILITY,2310 ABBIE LANE,PENSACOLA, ,ESCAMBIA,9576,"-87.21168200,30.51961800",16R DU 79690 76384,,,ASSISTED LIVING FACILITY,72,-9708360.031475436,3570518.2889049035
"VERANDA OF PENSACOLA, INC (THE)",6982 PINE FOREST ROAD,PENSACOLA, ,ESCAMBIA,11190,"-87.30626000,30.48859700",16R DU 70607 72967,,,ASSISTED LIVING FACILITY,60,-9718888.406227026,3566510.314176842
ALPINE ADULT CARE CENTER,108 LOUISIANA DRIVE,PENSACOLA, ,ESCAMBIA,7327,"-87.26847100,30.43666000",16R DU 74220 67203,,,ASSISTED LIVING FACILITY,14,-9714681.754083978,3559802.809765902
SABAL HOUSE,150 CROSSVILLE STREET,CANTONMENT, ,ESCAMBIA,9571,"-87.30456200,30.53503300",16R DU 70784 78113,,,ASSISTED LIVING FACILITY,44,-9718699.385726474,3572510.4131462346
WESTPOINTE RETIREMENT COMMUNITY,5101 NORTHPOINTE PKWY,PENSACOLA, ,ESCAMBIA,8864,"-87.16846800,30.50529300",16R DU 83834 74790,,,ASSISTED LIVING FACILITY,100,-9703549.471014887,3568667.3115605414
