Name,Address,City,Zip,COUNTY,LONGLAT,USNG,FACILITY_TYPE,SHELTER_TYPE,RPC_Region,Year_Built,Building,AS_IS_A_Retrofit_R,Generator_Type,PreMitigation_Capacity_Spaces,PreMitigation_Square_Footage,EHPA_Capacity_Gained_Spaces,EHPA_Square_Footage_Gained,Retrofit_Capacity_Gained_Spaces,Retrofit_Square_Footage_Gained,Risk_Capacity_Spaces,Risk_Square_Footage,Planned_Usage_Spaces,FundingSource_F_Federal_State_S,Evacuation_Zone,SURGE_ZONE,FLOOD_ZONE,EHPA,General_Pop,SPECIAL_NEEDS,Pet_Friendly,Does_not_meet_ARC_4496,Survey_Needed,x,y
FSU K-12 School,3000 School House Rd,Tallahassee,32311,LEON,"-84.22395102, 30.38406998",16R GU 66757 64614,SHELTER,RISK,2,2000,8 Gym,R,HW,0,0,0,0,214,12860,214,12869,214, ,No,No,No,No, ,Yes, , , ,-9375767.34000652,3553014.6086924234
FSU K-12 School,3000 School House Rd,Tallahassee,32311,LEON,"-84.22395102, 30.38406998",16R GU 66757 64614,SHELTER,RISK,2,2000,3 Classroom,R,HW,0,0,0,0,248,14869,248,14869,247,HMGP,No,No,No,No, ,Yes, , , ,-9375767.34000652,3553014.6086924234
FSU K-12 School,3000 School House Rd,Tallahassee,32311,LEON,"-84.22395102, 30.38406998",16R GU 66757 64614,SHELTER,RISK,2,2000,4 Classroom,R,HW,0,0,0,0,245,14679,245,14679,244, ,No,No,No,No, ,Yes, , , ,-9375767.34000652,3553014.6086924234
Bronson ES,400 Ishie Ave,Bronson,32621,LEVY,"-82.62903997, 29.46168998",17R LN 42030 60243,SHELTER,RISK,3,1999,6 Admin / Library,R,"Yes, unknown kW",0,0,0,0,27,1608,25,1510,25,S-1435A-2003,No,No,No,No, ,Yes, , , ,-9198222.654051423,3434541.0916256662
Bronson ES,400 Ishie Ave,Bronson,32621,LEVY,"-82.62903997, 29.46168998",17R LN 42030 60243,SHELTER,RISK,3,1999,7 Classroom,R, ,0,0,0,0,101,6084,101,6084,101,S-1435A-2003,No,No,No,No, ,Yes, , , ,-9198222.654051423,3434541.0916256662
Liberty County Senior Center,15643 CR-12,Bristol,32321,LIBERTY,"-84.97395722, 30.38797793",16R FU 94662 63519,SHELTER,RISK,2,2010,Main,A, ,0,0,0,0,17,1020,17,1020,0,L,No,No,No,No, ,Yes, , , ,-9459257.648956371,3553518.9125523386
Hosford ES & Jr HS,16864 NE SR 65,Hosford,32334,LIBERTY,"-84.79835985, 30.38888220",16R GU 11535 63934,SHELTER,RISK,2,2008,14 Cafeteria,A,400 kW,0,0,72,4306,72,4306,72,4306,25, ,No,No,No,Yes, ,Yes, , , ,-9439710.238342617,3553635.6079471903
Madison Central School,2093 US Hwy 90,Madison,32340,MADISON,"-83.44554999, 30.47853001",17R KP 65237 74354,SHELTER,RISK,3,2000, ,R, ,0,0,0,0,28,1680,28,1680,28,S-1435A-2003,No,No,No,No, ,Yes, , , ,-9289116.133930048,3565209.9131984557
Manatee Tech College East,5520 Lakewood Ranch Blvd,Bradenton,34211,MANATEE,"-82.43308901, 27.44419799",17R LL 58370 36452,SHELTER,RISK,7,2000,1 Voc Classroom,A, ,0,0,196,11788,0,0,196,11788,195, ,No,No,No,Yes, ,Yes, , ,Yes,-9176409.493148876,3179078.877923339
R. Dan Nolan MS,6615 Greenbrook Blvd,Bradenton,34202,MANATEE,"-82.39501899, 27.42476099",17R LL 62108 34256,SHELTER,RISK,7,2004,1 Main,A, ,0,0,986,59175,0,0,986,59175,570, ,No,No,No,Yes, ,Yes, , ,Yes,-9172171.558091816,3176640.99151836
Belleview HS,10400 SE 36th Ave,Belleview,34420,MARION,"-82.08668721, 29.07024761",17R LN 94225 16255,SHELTER,RISK,5,1995,10 Classroom,R,250 kW for campus,0,0,0,0,0,5637,94,5637,96, ,No,No,No,No, ,Yes, , , ,-9137848.221249511,3384590.023813052
Belleview HS,10400 SE 36th Ave,Belleview,34420,MARION,"-82.08668721, 29.07024761",17R LN 94225 16255,SHELTER,RISK,5,1994,5 Classroom,R,250 kW for campus,0,0,0,0,0,2363,39,2363,61, ,No,No,No,No, ,Yes, , , ,-9137848.221249511,3384590.023813052
Belleview MS,10500 SE 36th Ave,Belleview,34420,MARION,"-82.08668721, 29.06757734",17R LN 94222 15960,SHELTER,RISK,5,1993,4 Classroom,R,75 kW for campus,0,0,0,0,382,7833,131,7833,157, ,No,No,No,No, ,Yes, , , ,-9137848.221230846,3384249.9311865335
Belleview HS,10400 SE 36th Ave,Belleview,34420,MARION,"-82.08668721, 29.07024761",17R LN 94225 16255,SHELTER,RISK,5,1994,4 Classroom,R,250 kW for campus,0,0,0,0,0,5795,97,5795,115, ,No,No,No,No, ,Yes, , , ,-9137848.221249511,3384590.023813052
West Port HS,3733 SW 80th Ave,Ocala,34482,MARION,"-82.25181083, 29.15285490",17R LN 78248 25568,SHELTER,RISK,5,1999,1 Gym,A,1875 kW for campus,0,0,0,7320,0,0,395,23672,122, ,No,No,No,Yes, ,Yes, , , ,-9156229.698665218,3395115.4604580128
Belleview HS,10400 SE 36th Ave,Belleview,34420,MARION,"-82.08668721, 29.07024761",17R LN 94225 16255,SHELTER,RISK,5,1994,3 Classroom 1st Floor,R,250 kW for campus,0,0,0,0,0,4060,68,4060,19,"S, L",No,No,No,No, ,Yes, , , ,-9137848.221249511,3384590.023813052
David L Anderson MS,7000 SE Atlantic Ridge Dr,Stuart,34997,MARTIN,"-80.24167404, 27.11855099",17R NK 75159 99792,SHELTER,RISK,9,2005,03 Classroom,A,1280 kW for campus,0,0,613,14258,0,0,613,14258,172, ,No,No,No,Yes, ,Yes, , , ,-8932462.294123134,3138290.9527315134
David L Anderson MS,7000 SE Atlantic Ridge Dr,Stuart,34997,MARTIN,"-80.24167404, 27.11855099",17R NK 75159 99792,SHELTER,RISK,9,2005,01 Auditorium / Cafeteria,A,1280 kW for campus,0,0,153,9188,0,0,153,9188,102, ,No,No,No,Yes, ,Yes, , , ,-8932462.294123134,3138290.9527315134
David L Anderson MS,7000 SE Atlantic Ridge Dr,Stuart,34997,MARTIN,"-80.24167404, 27.11855099",17R NK 75159 99792,SHELTER,RISK,9,2005,02 Classroom,A,1280 kW for campus,0,0,598,13376,0,0,598,13376,145, ,No,No,No,Yes, ,Yes, , , ,-8932462.294123134,3138290.9527315134
David L Anderson MS,7000 Sw Atlantic Ridge Dr,Stuart,34997,MARTIN,"-80.24167404, 27.11855099",17R NK 75159 99792,SHELTER,RISK,9,2005,05 Gymn,A,1280 kW for campus,0,0,285,17089,0,0,285,17089,300, ,No,No,No,Yes, ,Yes, , , ,-8932462.294123134,3138290.9527315134
David L Anderson MS,7000 SE Atlantic Ridge Dr,Stuart,34997,MARTIN,"-80.24167404, 27.11855099",17R NK 75159 99792,SHELTER,RISK,9,2005,04 Classroom,A,1280 kW for campus,0,0,584,12562,0,0,584,12562,169, ,No,No,No,Yes, ,Yes, , , ,-8932462.294123134,3138290.9527315134
Jose Marti MAST Academy (6-12),5701 W 24th Ave,Hialeah,33016,MIAMI-DADE,"-80.33032197, 25.87451999",17R NJ 67091 61958,SHELTER,RISK,10,1985,4 Cafeteria / Gym,A,250 kW,0,0,0,0,0,0,56,3381,169, ,No,No,No,No, ,Yes, , , ,-8942330.536511833,2983547.988658856
Jose Marti MAST Academy (6-12),5701 W 24th Ave,Hialeah,33016,MIAMI-DADE,"-80.33032197, 25.87451999",17R NJ 67091 61958,SHELTER,RISK,10,1985,6 Tech Lab,A,250 kW,0,0,0,0,0,0,20,1173,59, ,No,No,No,No, ,Yes, , , ,-8942330.536511833,2983547.988658856
Ruben Dario MS,350 NW 97th Ave,Miami,33172,MIAMI-DADE,"-80.35436302, 25.77154801",17R NJ 64739 50543,SHELTER,RISK,10,1985,2 Cafeteria,A,250 kW,0,0,0,0,0,0,53,3209,250, ,E,No,No,No, ,Yes, , , ,-8945006.774867788,2970813.588980592
Booker T. Washington HS,1200 NW 6th Ave,Miami,33136,MIAMI-DADE,"-80.20480598, 25.78654701",17R NJ 79726 52286,SHELTER,RISK,10,2001,14 Classroom,A,325 kW,0,0,514,30838,0,0,514,30838,1028,L,E,5,No,Yes, ,Yes, , , ,-8928358.161190145,2972667.805311039
Miami Edison HS,6161 NW 5th Ct,Miami,33127,MIAMI-DADE,"-80.20468604, 25.83161202",17R NJ 79707 57277,SHELTER,RISK,10,1992,Multiple buildings,R, ,0,0,0,0,247,14795,247,14795,740, ,No,No,No,No, ,Yes, , , ,-8928344.80901082,2978240.274303655
Miami Jackson HS,1751 NW 36th St,Miami,33142,MIAMI-DADE,"-80.22501601, 25.81070399",17R NJ 77683 54949,SHELTER,RISK,10,2004,Multiple buildings, , ,0,0,0,0,0,0,565,33900,0, ,No,No,AE,No, ,Yes, , , ,-8930607.930991136,2975654.6490642927
Jose Marti MAST Academy (6-12),5701 W 24th Ave,Hialeah,33016,MIAMI-DADE,"-80.33032197, 25.87451999",17R NJ 67091 61958,SHELTER,RISK,10,1985,1 Admin,A,250 kW,0,0,0,0,0,0,645,38725,1936, ,No,No,No,No, ,Yes, , , ,-8942330.536511833,2983547.988658856
Florida International University,11290 SW 12th St,Miami,33199,MIAMI-DADE,"-80.37808320, 25.75759670",17R NJ 62367 48986,SHELTER,RISK,10,2017,Rec Complex 2nd Floor,A,600 kW,0,0,0,0,91,5443,91,5443,91, ,E,5,AH,No, ,Yes, , , ,-8947647.292739093,2969089.100721762
Ruben Dario MS,350 NW 97th Ave,Miami,33172,MIAMI-DADE,"-80.35436302, 25.77154801",17R NJ 64739 50543,SHELTER,RISK,10,1985,1 Admin / Classroom,A,250 kW,0,0,0,0,0,0,742,44522,250, ,E,No,No,No, ,Yes, , , ,-8945006.774867788,2970813.588980592
Wildlight ES,550 Curiosity Ave,Yulee,32097,NASSAU,"-81.64063203, 30.63262798",17R MP 38607 89063,SHELTER,RISK,4,2017,1 Admin / Art,A, ,0,0,52,3143,0,0,52,3143,0, ,No,No,No,Yes, ,Yes,Yes, ,Yes,-9088193.58587419,3585130.238035623
Wildlight ES,550 Curiosity Ave,Yulee,32097,NASSAU,"-81.64063203, 30.63262798",17R MP 38607 89063,SHELTER,RISK,4,2017,2 Cafeteria,A, ,0,0,100,6027,0,0,100,6027,0, ,No,No,No,Yes, ,Yes,Yes, , ,-9088193.58587419,3585130.238035623
Davidson MS,6261 Old Bethel Rd,Crestview,32536,OKALOOSA,"-86.56203002, 30.79409801",16R EV 41901 06865,SHELTER,RISK,1,1997,1A Main,R,"Yes, unknown kW",0,0,0,0,82,4920,82,4920,82,S,No,No,No,No, ,Yes,Yes, , ,-9636041.10387558,3606037.622115845
Indian River State College Okeechobee,2229 NW 9th Ave,Okeechobee,34972,OKEECHOBEE,"-80.83753259, 27.26434682",17R NL 16081 15725,SHELTER,RISK,6,2008,Bldg C Conference,A, ,0,0,107,6429,0,0,107,6429,0, ,No,No,No,Yes, ,Yes, , , ,-8998792.964773713,3156537.388509977
East River HS,650 E River Falcons Way,Orlando,32835,ORANGE,"-81.13000498, 28.55712601",17R MM 87283 58927,SHELTER,RISK,5,2009,7 Cafeteria,A,475 kW,0,0,141,8443,0,0,141,8443,197, ,No,No,No,Yes, ,Yes, , , ,-9031350.84268533,3319397.9547035247
Freedom HS (priority 3),2500 W Taft Vineland Rd,Orlando,32837,ORANGE,"-81.41213800, 28.41527500",17R MM 59633 43274,SHELTER,RISK,5,2003,7 Cafeteria,A,600 kW,0,0,128,7679,0,0,128,7679,134, ,No,No,No,Yes, ,Yes, , , ,-9062757.746478505,3301432.072471973
East River HS,650 E River Falcons Way,Orlando,32833,ORANGE,"-81.13000498, 28.55712601",17R MM 87283 58927,SHELTER,RISK,5,2009,3 Gym,A,475 kW,0,0,317,18999,0,0,317,18999,759, ,No,No,No,Yes, ,Yes, , , ,-9031350.84268533,3319397.9547035247
Freedom HS (priority 3),2500 W Taft Vineland Rd,Orlando,32806,ORANGE,"-81.41213800, 28.41527500",17R MM 59633 43274,SHELTER,RISK,5,2003,2 Classroom,A, ,0,0,202,12110,0,0,202,12110,134, ,No,No,No,Yes, ,Yes, , ,Yes,-9062757.746478505,3301432.072471973
Olympia HS,4300 S Apopka Vineland Rd,Orlando,32837,ORANGE,"-81.50840011, 28.49799598",17R MM 50244 52475,SHELTER,RISK,5,1999,3 Gym,A, ,0,0,293,17562,0,0,293,17562,293, ,No,No,No,Yes, ,Yes,Yes, , ,-9073473.59594469,3311906.0131936455
Central Ave ES,500 W Columbia Ave,Kissimmee,34741,OSCEOLA,"-81.40896897, 28.30687499",17R MM 59903 31265,SHELTER,RISK,5,2000,1 Main Classroom / Cafeteria,A,"Unknown kW, located on NW side of Campus",0,0,560,33602,0,0,560,33602,500, ,No,No,No,Yes, ,Yes, , , ,-9062404.97166338,3287719.0865571876
Oak Leaf Landing Center,2350 N Central Ave,Kissimmee,34741,OSCEOLA,"-81.40933501, 28.31642902",17R MM 59871 32323,SHELTER,RISK,5,0,1 Main,A, ,0,0,0,0,0,0,101,6030,251, , , , ,No, ,Yes, , , ,-9062445.7188126,3288927.1426520334
St. Cloud Senior Center,3101 17th St,St. Cloud,34769,OSCEOLA,"-81.30906196, 28.24167698",17R MM 69680 24013,SHELTER,RISK,5,1991,Main,R, ,0,0,0,0,129,7744,129,7744,166,S-1543A,No,No,No,No, ,Yes, , ,Yes,-9051283.374676695,3279478.038595314
Barney E. Veal Center,700 Generations Pt,Kissimmee,34744,OSCEOLA,"-81.35969997, 28.28553701",17R MM 64726 28885,SHELTER,RISK,5,2008,Main,A,"Unknown kW, located in Health Care Center Garage",0,0,0,0,142,8545,142,8545,385, ,No,No,AE,No, ,Yes, , , ,-9056920.372238806,3285021.4040911184
South Florida Fair Expo,9067 Southern Blvd,W Palm Beach,33411,PALM BEACH,"-80.18854501, 26.68249401",17R NK 80735 51526,SHELTER,RISK,9,0,West Expo,R, ,0,0,550,33000,0,0,550,33000,550, ,No,No,No,Yes, ,Yes, , , ,-8926547.997623418,3083859.265817976
Palm Beach Central HS (Part),8499 Forest Hill Blvd,Wellington,33414,PALM BEACH,"-80.17957830, 26.65251118",17R NK 81648 48210,SHELTER,RISK,9,2002,8 Gym,A, ,0,0,308,18455,0,0,308,18455,308, ,No,No,No,Yes, ,Yes, , , ,-8925549.8282808,3080124.2892413298
Wesley Chapel HS,30651 Wells Rd,Wesley Chapel,33545,PASCO,"-82.31210998, 28.25603598",17R LM 71289 26263,SHELTER,RISK,7,1998,3 Classoom,A,"N/A160 kW, 1600 kW, and 1000 kW for campus",0,0,0,0,0,0,347,20806,0,S-1467-2004,No,No,No,No, ,Yes, , , ,-9162942.169535222,3281292.5872585396
Wiregrass Ranch Sr HS,2909 Mansfield Blvd,Wesley Chapel,33543,PASCO,"-82.32674504, 28.18951301",17R LM 69773 18908,SHELTER,RISK,7,2006,7 Cafeteria,A,2500 kW,0,0,76,4538,0,0,76,4538,104,L,No,No,No,Yes, ,Yes, , , ,-9164571.336323556,3272888.122775371
Wiregrass Ranch Sr HS,2909 Mansfield Blvd,Wesley Chapel,33543,PASCO,"-82.32674504, 28.18951301",17R LM 69773 18908,SHELTER,RISK,7,2006,6 Gym,A,2500 kW,0,0,227,13635,0,0,227,13635,106,L,No,No,No,Yes, ,Yes, , , ,-9164571.336323556,3272888.122775371
Wiregrass Ranch Sr HS,2909 Mansfield Blvd,Wesley Chapel,33543,PASCO,"-82.32674504, 28.18951301",17R LM 69773 18908,SHELTER,RISK,7,2006,3 Classroom,A,2500 kW,0,0,376,22569,0,0,376,22569,363,L/S,No,No,No,Yes, ,Yes, , , ,-9164571.336323556,3272888.122775371
Wesley Chapel HS,30651 Wells Rd,Wesley Chapel,33545,PASCO,"-82.31210998, 28.25603598",17R LM 71289 26263,SHELTER,RISK,7,1998,5 Cafeteria,A,"160 kW, 1600 kW, and 1000 kW for campus",0,0,0,0,0,0,81,4850,0,S-1467-2004,No,No,No,No, ,Yes, , , ,-9162942.169535222,3281292.5872585396
Wesley Chapel HS,30651 Wells Rd,Wesley Chapel,33545,PASCO,"-82.31210998, 28.25603598",17R LM 71289 26263,SHELTER,RISK,7,1998,2 Classroom / ESE,A,"160 kW, 1600 kW, and 1000 kW for campus",0,0,0,0,0,0,321,19246,0,S-1467-2004,No,No,No,No, ,Yes, , , ,-9162942.169535222,3281292.5872585396
Fasano Shelter,11611 Denton Ave,Hudson,34667,PASCO,"-82.62451802, 28.39055300",17R LM 40841 41540,SHELTER,RISK,7,2009,Main,A,1000 kW,0,0,329,19750,0,0,329,19750,280,S/F,No,No,No,Yes, ,Yes, , , ,-9197719.272575013,3298303.417796385
Wiregrass Ranch Sr HS,2909 Mansfield Blvd,Wesley Chapel,33543,PASCO,"-82.32674504, 28.18951301",17R LM 69773 18908,SHELTER,RISK,7,2006,4 Classroom / Art,A,2500 kW,0,0,395,23715,0,0,395,23715,367,L,No,No,No,Yes, ,Yes, , , ,-9164571.336323556,3272888.122775371
Oak Grove MS,1370 S Belcher Rd,Clearwater,33764,PINELLAS,"-82.74754197, 27.94691801",17R LL 28078 92551,SHELTER,RISK,7,2004,1 Admin / Multipurpose,A, ,0,0,0,0,0,0,100,6021,0, ,D,5,No,No, ,Yes, , , ,-9211414.237013154,3242283.0123966653
Dunedin Highland MS,70 Patricia Ave,Dunedin,34698,PINELLAS,"-82.77594900, 27.99970502",17R LL 25367 98440,SHELTER,RISK,7,2002,2 Classroom,A, ,0,0,380,22777,0,0,380,22777,294, ,D,5,No,Yes, ,Yes, , , ,-9214576.492489213,3248936.599226388
John Hopkins MS,701 16th St S,St. Petersburg,33705,PINELLAS,"-82.65663797, 27.76324998",17R LL 36747 72076,SHELTER,RISK,7,1997,5 Classroom,R, ,0,0,0,0,0,0,256,15389,472,L,No,No,No,No, ,Yes, , , ,-9201294.849711278,3219157.6856447095
Oak Grove MS,1370 S Belcher Rd,Clearwater,33764,PINELLAS,"-82.74754197, 27.94691801",17R LL 28078 92551,SHELTER,RISK,7,2004,6 Classroom,A, ,0,0,0,0,0,0,310,18583,0, ,D,5,No,No, ,Yes, , , ,-9211414.237013154,3242283.0123966653
John Hopkins MS,701 16th St S,St. Petersburg,33705,PINELLAS,"-82.65663797, 27.76324998",17R LL 36747 72076,SHELTER,RISK,7,1997,6 Classroom,R, ,0,0,0,0,288,17261,288,17261,541,L,No,No,No,No, ,Yes, , , ,-9201294.849711278,3219157.6856447095
Dunedin Highland MS,70 Patricia Ave,Dunedin,34698,PINELLAS,"-82.77594900, 27.99970502",17R LL 25367 98440,SHELTER,RISK,7,2002,3 Classroom,A, ,0,0,411,24648,0,0,411,24648,734, ,D,5,No,Yes, ,Yes, , , ,-9214576.492489213,3248936.599226388
Polk County Health Dept - Specialty Care Unit,1255 Brice Blvd,Bartow,33830,POLK,"-81.82074999, 27.88346001",17R ML 19213 84563,SHELTER,RISK,6,0, ,R, ,0,0,0,0,410,24575,410,24575,0, ,No,No,No,No, ,Yes, , , ,-9108244.225734752,3234288.692251372
McKeel Academy of Technology,1810 W Parker St,Lakeland,33815,POLK,"-81.98422301, 28.04988299",17R MM 03270 03118,SHELTER,RISK,6,2004,14 Gym,A, ,0,0,199,11952,0,0,199,11952,727,L,No,No,No,Yes, ,Yes, , , ,-9126441.958185943,3255264.3500820524
Haines City Adult Day Care Center,751 Scenic Hwy,Haines City,33844,POLK,"-81.62570498, 28.08457204",17R MM 38526 06728,SHELTER,RISK,6,1995,Center,A, ,0,0,0,0,0,0,60,3618,0, ,No,No,No,No, ,Yes, , , ,-9086531.914211828,3259640.5796555397
Ridge Community HS,500 Orchid Dr,Davenport,33837,POLK,"-81.63157232, 28.15030699",17R MM 37987 14014,SHELTER,RISK,6,2004,6 Gym,A, ,0,0,275,16475,0,0,270,16175,1235,L,No,No,No,Yes, ,Yes, , , ,-9087185.063077431,3267937.3128667646
Kelley Smith ES,141 Kelly Smith School Rd,Palatka,32177,PUTNAM,"-81.70714000, 29.63309001",17R MN 31547 78338,SHELTER,RISK,4,2006,12 Classroom,A,400 kW,0,0,80,4809,0,0,80,4809,144, ,No,No,No,Yes, ,Yes, , ,Yes,-9095597.219322003,3456473.636273695
PCHD,2801 Kennedy St,Palatka,32177,PUTNAM,"-81.65836998, 29.64502002",17R MN 36276 79632,SHELTER,RISK,4,0,South Annex,R, ,0,0,0,0,0,0,31,1860,0, , , , ,No, ,Yes, , , ,-9090168.165529218,3458001.600074443
Pacetti Bay MS,245 Meadowlark Ln,St. Augustine,32092,ST. JOHNS,"-81.50250497, 29.94514001",17R MP 51507 12812,SHELTER,RISK,4,2006,100 Admin,R, ,0,0,0,0,52,3120,52,3120,0, ,No,No,No,No, ,Yes, , , ,-9072817.351976218,3496500.050681996
Pacetti Bay MS,245 Meadowlark Ln,St. Augustine,32092,ST. JOHNS,"-81.50250497, 29.94514001",17R MP 51507 12812,SHELTER,RISK,4,2006,500B Cafeteria,R,"Yes, unknown kW",0,0,81,4860,81,4860,81,4860,300, ,No,No,No,Yes, ,Yes, , , ,-9072817.351976218,3496500.050681996
Port St Lucie Community Center,2195 SE Airoso Blvd,Port St Lucie,34984,ST. LUCIE,"-80.34067504, 27.27514598",17R NL 65255 17082,SHELTER,RISK,9,2005,2 2005 Addition,A,"Yes, unknown kW",0,0,0,0,0,0,75,4486,0, ,No,No,No,No, ,Yes, , , ,-8943483.03554705,3157889.8611449357
Havert L Fenn Community Center,2000 Virginia Ave,Ft Pierce,34982,ST. LUCIE,"-80.34462996, 27.42641101",17R NL 64776 33836,SHELTER,RISK,9,2008,Main,A, ,0,0,0,0,0,0,535,32094,334, ,No,No,No,No, ,Yes, , ,Yes,-8943923.294858612,3176847.928505345
Port St Lucie Community Center,2195 SE Airoso Blvd,Port St Lucie,34984,ST. LUCIE,"-80.34067504, 27.27514598",17R NL 65255 17082,SHELTER,RISK,9,1998,1 Main,A,"Yes, unknown kW",0,0,0,0,0,0,215,12900,166, ,No,No,No,No, ,Yes, , , ,-8943483.03554705,3157889.8611449357
Bennet C. Russel ES,3740 Excalibur Way,Milton,32583,SANTA ROSA,"-87.09551855, 30.57301487",16R DU 90840 82286,SHELTER,RISK,1,2006,1 A/C Corridors / Cafeteria,A,HW 600KW; GenSet,0,0,237,14196,0,0,237,14196,0, ,No,No,No,No, ,Yes, , ,Yes,-9695428.775328448,3577420.2677125754
Milton Community Center,5629 Byrom St,Milton,32570,SANTA ROSA,"-87.04856304, 30.63950001",16R DU 95346 89651,SHELTER,RISK,1,2002,Main,R,280 kW,0,0,0,0,128,7667,128,7667,24, ,No,No,No,No, ,Yes, ,Yes, ,-9690201.711643534,3586019.326447987
Thomas L. Sims MS,5500 Education Dr,Pace,32571,SANTA ROSA,"-87.16763996, 30.63551098",16R DU 83935 89220,SHELTER,RISK,1,1997,1,R,600kW plus 80 kW,0,0,0,0,704,42262,704,42262,351,HMGP,No,No,No,No, ,Yes, , , ,-9703457.293888563,3585503.2263360084
Tatum Ridge ES,4100 Tatum Rd,Sarasota,34240,SARASOTA,"-82.41844599, 27.32533301",17R LL 59667 23267,SHELTER,RISK,8,2004,1 Main,A, ,0,0,0,0,0,0,799,47920,1600, ,No,No,No,No, ,Yes, , , ,-9174779.439838808,3164176.9394176905
Bentley ES,2190 Oregon Ave,Sanford,32771,SEMINOLE,"-81.33095600, 28.79477602",17R MM 67701 85293,SHELTER,RISK,5,2001,1 Main 1st Floor,R,500 kW capacity,0,0,0,0,371,22270,371,22270,100,S-1435A-2003,No,No,No,No, ,Yes,Yes, , ,-9053720.607400207,3349551.460902138
Highlands ES,1600 Shepard Rd,Winter Springs,32708,SEMINOLE,"-81.31767403, 28.71653401",17R MM 68974 76622,SHELTER,RISK,5,1995,1 Main 1st Floor,R,1000 kW for campus,0,0,0,0,373,22355,373,22355,100,S-1118A,No,No,No,No, ,Yes, , , ,-9052242.065930871,3339616.400609702
Layer ES,SR 419,Winter Springs,32708,SEMINOLE,"-81.30951432, 28.72694730",17R MM 69774 77773,SHELTER,RISK,5,2003,1 Main / Cafeteria 1st Floor,R,500 kW capacity,0,0,0,0,84,5020,84,5020,100, ,No,No,No,No, ,Yes, , , ,-9051333.730436644,3340938.236402571
Suwannee Intermediate School,1419 Walker Ave SW,Live Oak,32064,SUWANNEE,"-82.99532000, 30.28348999",17R LP 08086 51884,SHELTER,RISK,3,2001,Cafeteria (2001 Add.),R,"Yes, unknown kW",0,0,0,0,47,2847,47,2847,50, ,No,No,No,No, ,Yes, , ,Yes,-9238996.760731831,3540042.1348643154
Lake Butler MS,150 SW 6th St,Lake Butler,32054,UNION,"-82.33933459, 30.01799097",17R LP 70841 21534,SHELTER,RISK,3,2008,10 Classroom,A, ,0,0,0,0,77,4620,77,4620,0,SR,No,No,No,No, ,Yes, , , ,-9165972.799112488,3505862.6248929542
Union County HS,1000 S Lake Ave,Lake Butler,32054,UNION,"-82.33811333, 30.01472496",17R LP 70955 21170,SHELTER,RISK,3,1997,24 Gym,A,"Yes, unknown kW",0,0,0,0,54,3261,54,3261,54, ,No,No,No,No, ,Yes, , , ,-9165836.848579615,3505442.7400627057
Galaxy MS,2400 Eustace Ave,Deltona,32725,VOLUSIA,"-81.23112602, 28.92992302",17R MN 77473 00243,SHELTER,RISK,5,1989,2 Dining,A,"Yes, unknown kW",0,0,110,6608,0,0,110,6608,166,S-1118A,No,No,No,Yes, ,Yes, , , ,-9042607.58536663,3366729.8251378937
Creekside MS,6801 Airport Rd,Port Orange,32128,VOLUSIA,"-81.04172703, 29.06616700",17R MN 95938 15317,SHELTER,RISK,5,1999,2 Dining,A,"Yes, unknown kW",0,0,0,0,0,0,100,6008,185, ,E,No,No,No, ,Yes, , , ,-9021523.785882901,3384070.3095442336
Heritage MS,1001 Parnell Court,Deltona,32738,VOLUSIA,"-81.17226201, 28.89192500",17R MM 83204 96024,SHELTER,RISK,5,1997,2 Dining,R,"Yes, unknown kW",0,0,0,0,104,6264,104,6264,176, ,No,No,No,No, ,Yes, , , ,-9036054.873734143,3361897.6871597366
Palm Terrace ES,1825 Dunn Ave,Daytona Beach,32114,VOLUSIA,"-81.07428201, 29.19849998",17R MN 92778 29980,SHELTER,RISK,5,1991,6 Dining,R,"Yes, unknown kW",0,0,0,0,80,4799,80,4799,0, ,No,No,No,No, ,Yes, , ,Yes,-9025147.789324809,3400934.9755435074
Hinson MS,1860 N Clyde Morris Blvd,Ormond Beach,32117,VOLUSIA,"-81.09412599, 29.23996199",17R MN 90853 34575,SHELTER,RISK,5,2004,2 Dining,R, ,0,0,120,7185,0,0,120,7185,250,L,No,No,No,Yes, ,Yes, , , ,-9027356.812009467,3406223.4152065227
Freedom ES,1395 South Blue Lake Ave,DeLand,32724,VOLUSIA,"-81.27169502, 28.99454900",17R MN 73535 07412,SHELTER,RISK,5,1999,2 Dining,A,"Yes, unknown kW",0,0,64,3820,0,0,64,3820,84, ,No,No,No,Yes, ,Yes, , , ,-9047123.705544015,3374952.262920288
Walton MS,625 Park Ave,DeFuniak Springs,32435,WALTON,"-86.11248956, 30.71259560",16R EU 84981 98087,SHELTER,RISK,1,2002,9 Classroom,R,"Yes, unknown kW",0,0,0,0,160,9610,160,9610,92,S-1508-2005,No,No,No,No, ,Yes, , , ,-9585998.488463389,3595480.1911408603
Roulhac MS,1535 Brickyard Rd,Chipley,32428,WASHINGTON,"-85.55634700, 30.76465448",16R FV 38164 04410,SHELTER,RISK,1,1998,12 (5th Grade wng),A,"Yes, unknown kW",0,0,146,8752,0,0,146,8752,172,EHPA,No,No,No,Yes, ,Yes, , ,Yes,-9524088.982622001,3602222.616401055
